Color,Wavelength,R,T,x,K,S,error
C,800,0.07996905177948001,0.7628108978,1.0,0.17155704048341103,0.10370728236854074,1.1102230246251565e-16
C,799,0.0797898417684,0.7625879669,1.0,0.17203614503414974,0.10350180446631337,1.249000902703301e-16
C,798,0.0796522657381,0.7594437408,1.0,0.17596423749415943,0.10371231913516268,1.249000902703301e-16
C,797,0.07987715286144,0.7571221161,1.0,0.17848465592905383,0.10429594176056278,1.249000902703301e-16
C,796,0.07969935994380001,0.7533831786999999,1.0,0.18320605547832436,0.10453204945309956,4.163336342344337e-17
C,795,0.0796403095196,0.7527809143,1.0,0.18400527779446268,0.10453019519053712,1.3877787807814457e-17
C,794,0.0787065553662,0.7498890686,1.0,0.18863649915521752,0.10366230014764638,2.498001805406602e-16
C,793,0.07809601729205,0.7477058411,1.0,0.1920329049171594,0.10312786451082144,1.249000902703301e-16
C,792,0.07731576040094999,0.7449326324000001,1.0,0.1963697210080759,0.10243838752188719,1.6653345369377348e-16
C,791,0.07576373912688,0.7413837433,1.0,0.20262409771682552,0.10081046484722002,0.0
C,790,0.074575864874,0.7388444518999999,1.0,0.20721821013462965,0.09953330959625976,1.1102230246251565e-16
C,789,0.07335834815464999,0.7359463501000001,1.0,0.2123165425052616,0.09825139767132973,2.7755575615628914e-17
C,788,0.07138162999175,0.7316963196,1.0,0.220077813516689,0.09609658617865119,1.3877787807814457e-17
C,787,0.0692165645752,0.7281749725000001,1.0,0.22721328887468756,0.09357949220041911,1.249000902703301e-16
C,786,0.06693457279285,0.7251940917999999,1.0,0.23385800628599818,0.09082086404657613,2.7755575615628914e-17
C,785,0.06460405979345,0.719940567,1.0,0.24352264010231292,0.08822375268000353,6.938893903907228e-17
C,784,0.061763471884549996,0.7174970245,1.0,0.25029214679172185,0.08459377554228457,2.0816681711721685e-16
C,783,0.059083571719550004,0.7122515106,1.0,0.26055313795454477,0.08144726995230532,2.3592239273284576e-16
C,782,0.056091038993159995,0.7074783325,1.0,0.2707006780731475,0.07777860482744285,1.3877787807814457e-17
C,781,0.0530481028986,0.7032712555,1.0,0.2802593020489478,0.0739428496531555,1.880440247958859e-15
C,780,0.049736098526649994,0.6977666472999999,1.0,0.29200947530171295,0.06980342571916255,3.767819389821625e-15
C,779,0.0468468032882,0.6903851317999999,1.0,0.30588823303656554,0.06636212864084581,1.1102230246251565e-16
C,778,0.043823043321900006,0.6846146392999999,1.0,0.31790762003641115,0.06253318348166728,1.249000902703301e-16
C,777,0.0408114862943,0.6790170288,1.0,0.32980718364729134,0.05865164472224502,2.8449465006019636e-16
C,776,0.0379871057016,0.6712126922999999,1.0,0.3447123393753561,0.05514195400919047,6.938893903907228e-18
C,775,0.03519839923195,0.6634235382,1.0,0.3597618930455867,0.05161096459053644,1.6792123247455493e-15
C,774,0.03265029161478,0.6551879119999999,1.0,0.3753417103706173,0.048391530993292346,4.191091917959966e-15
C,773,0.03031238536494,0.6460141754,1.0,0.3922500575665043,0.0454720837964414,1.3877787807814457e-17
C,772,0.0281586819059,0.6367757797,1.0,0.40926634919292504,0.04276277811251978,1.4224732503009818e-16
C,771,0.026127052926749997,0.6270845413,1.0,0.4270830344526017,0.040196512184192096,3.122502256758253e-16
C,770,0.0244668186227,0.616030159,1.0,0.4467904456004177,0.03821069196117914,9.54097911787244e-16
C,769,0.02269681647366,0.6049750519,1.0,0.46705596750023365,0.035987788682153285,9.783840404509192e-16
C,768,0.0212696033909,0.5908684157999999,1.0,0.49219820374372397,0.03439248364152914,9.128114930589959e-15
C,767,0.01990932063265,0.5773596191,1.0,0.516863216545055,0.03281200285542592,2.7394753132625738e-14
C,766,0.0187693240089,0.562574501,1.0,0.5439888359605614,0.03159501892882093,9.298117831235686e-16
C,765,0.01788309966264,0.5462989044,1.0,0.5740934754710285,0.030825400259713847,1.2524703496552547e-15
C,764,0.0170054103792,0.5292696380999999,1.0,0.6065028696529107,0.030062814050095685,1.6653345369377348e-15
C,763,0.0161372000624,0.511728363,1.0,0.6409531496028671,0.02929583601649305,1.474514954580286e-15
C,762,0.0153242747144,0.4932799911,1.0,0.6783221857400251,0.028625504044071708,5.568462357885551e-16
C,761,0.01473994198975,0.47216651919999997,1.0,0.7222126882248069,0.02847132332928743,1.3759826611448034e-14
C,760,0.0140684783489,0.4510627747,1.0,0.768272173015856,0.028124833417777845,4.988197355171309e-14
C,759,0.0136157138076,0.4294208908,1.0,0.8173361707845668,0.02822545679731953,4.9960036108132044e-14
C,758,0.0130711236416,0.407953186,1.0,0.8687182619782698,0.028120565558888345,1.4292039773877718e-13
C,757,0.01273095153915,0.38569156649999997,1.0,0.9244542840571328,0.028498804975194095,7.777667399011534e-13
C,756,0.0122660670919,0.3620582962,1.0,0.9874968099786555,0.028685000716510242,3.0912772341906702e-15
C,755,0.01189530441764,0.3389087296,1.0,1.0531714720491483,0.02908395833901099,7.806255641895632e-17
C,754,0.0115144446292,0.31508472439999996,1.0,1.125614599289528,0.02952939915313428,7.33441085642994e-15
C,753,0.0112903521819,0.29237121580000003,1.0,1.1996011912662148,0.03036529216127474,3.353220479063168e-15
C,752,0.01096719908376,0.2706003761,1.0,1.2764109197717963,0.030937571353302527,2.498001805406602e-16
C,751,0.0106506448715,0.2490959167,1.0,1.3585875405106054,0.031567215449644415,5.204170427930421e-17
C,750,0.010340136743849999,0.22813898089999998,1.0,1.445798296018459,0.03224085956089722,6.036837696399289e-16
C,749,0.0100499506142,0.20851400380000001,1.0,1.5350441121110059,0.03294551728980439,8.257283745649602e-16
C,748,0.00978321732589,0.18992805480000002,1.0,1.6276329832119683,0.03371989146214719,3.140716853256009e-14
C,747,0.009590262393984,0.17231620790000002,1.0,1.7239116194333246,0.034761232058470114,1.096345236817342e-15
C,746,0.009394078114315,0.156779232,1.0,1.8174781031227178,0.0356917901999139,4.631711680858075e-16
C,745,0.009208492869485,0.1419689941,1.0,1.9157110246125046,0.03669387385898853,1.812439087700568e-14
C,744,0.008956171068235,0.1286065769,1.0,2.013898284688783,0.03735768527117386,1.214306433183765e-15
C,743,0.008795936350416,0.116375227,1.0,2.1128390313872076,0.03836017396278392,1.0668549377257364e-15
C,742,0.00854589794323,0.105308876,1.0,2.2122156296850286,0.03890428784526867,3.8510861166685117e-16
C,741,0.008330310070375,0.09553116798,1.0,2.309078482409074,0.039486162085143515,0.0
C,740,0.00815814947201,0.08640322684999999,1.0,2.4087377107037047,0.040256375012007906,6.2814337065120185e-15
C,739,0.007954001253455,0.07839164257,1.0,2.5055460411499593,0.040754421869980184,2.949029909160572e-16
C,738,0.007844017717540001,0.07129816055,1.0,2.599507623954496,0.04164360403105999,3.346281585159261e-14
C,737,0.00761007207379,0.06478456497,1.0,2.6951195064247155,0.04182990381867125,2.4147350785597155e-15
C,736,0.007450211456064,0.05914889812,1.0,2.785674389625702,0.04228335155806132,1.7132996410484935e-14
C,735,0.007296118102043,0.05410030842,1.0,2.8744836180656783,0.04269077442132377,1.951563910473908e-16
C,734,0.007069173740865,0.049459314350000005,1.0,2.964242668041583,0.04261409987319738,4.345482307321902e-16
C,733,0.006941802339598,0.04529896259,1.0,3.051670163245143,0.04305216971867307,1.3877787807814457e-17
C,732,0.0068405111312050005,0.04158880711,1.0,3.1365945700161237,0.043581398583578845,1.8525111999956323e-14
C,731,0.006724487836752,0.03824694872,1.0,3.219983246163105,0.04395899655032189,4.099238309906994e-14
C,730,0.006520477775025,0.03525645971,1.0,3.3016701185597803,0.04367898564732866,6.852157730108388e-17
C,729,0.006405297009624,0.03261287451,1.0,3.3793893096473604,0.04389925008260219,7.252011491321042e-15
C,728,0.006245141179728,0.03017333984,1.0,3.4572640668905223,0.04376700647892968,2.1510571102112408e-16
C,727,0.006205819377005,0.02813794374,1.0,3.5265194315334303,0.04435379723724184,2.2551405187698492e-17
C,726,0.00604060477016,0.02623785257,1.0,3.5967679536717574,0.044013740682162225,1.3010426069826053e-16
C,725,0.0059601090791199995,0.0244584322,1.0,3.6667477222984304,0.04426093809501739,1.1345958894626307e-14
C,724,0.005897843056705,0.02295566082,1.0,3.7298749788932786,0.044543782430475,1.2117043479697998e-15
C,723,0.005815387281335,0.02158049822,1.0,3.79155394790479,0.04463715261886681,5.967448757360216e-16
