Color,Wavelength,R,T,x,K,S,error,,,,
K8,800,0.00882626714898,0.290909138,2,4.523252311,0.074154838,1.8735013540549517e-15,,,,
K8,799,0.008915042216604,0.291197128,2,4.52347097,0.074972749,1.025221574302293e-15,,,,
K8,798,0.008994678264735,0.290763702,2,4.52416546,0.075732798,4.527628272299467e-16,,,,
K8,797,0.00885711740238,0.28972772599999996,2,4.535537447,0.074450215,9.43689570931383e-16,,,,
K8,796,0.00897707487299,0.289291897,2,4.548375486,0.075853057,2.931682674400804e-16,,,,
K8,795,0.008951181009905001,0.288620892,2,4.557766975,0.075824109,1.734723475976807e-16,,,,
K8,794,0.008849527430196,0.288166428,2,4.563630793,0.074672109,4.111294638065033e-16,,,,
K8,793,0.008970775324015001,0.288265915,2,4.563643199,0.075846909,1.8908485888147197e-16,,,,
K8,792,0.008981519905145001,0.28813842770000003,2,4.565711108,0.075870677,5.724587470723463e-17,,,,
K8,791,0.0088924049116,0.287601681,2,4.57074293,0.075183866,3.1051550219984847e-16,,,,
K8,790,0.008908256451262,0.286721497,2,4.580077983,0.075291471,5.898059818321144e-17,,,,
K8,789,0.00901565620296,0.286605187,2,4.585781846,0.076149395,3.469446951953614e-18,,,,
K8,788,0.008901701494685001,0.286200104,2,4.589525459,0.075251923,1.1275702593849246e-16,,,,
K8,787,0.008905362826808,0.285811691,2,4.593698089,0.075683644,9.020562075079397e-17,,,,
K8,786,0.008921279204235,0.285141144,2,4.605035352,0.075799919,6.245004513516506e-17,,,,
K8,785,0.00893064846353,0.28478756,2,4.609076175,0.075434643,1.1449174941446927e-16,,,,
K8,784,0.009023657259645,0.284956036,2,4.605902639,0.076660313,1.6445178552260131e-15,,,,
K8,783,0.00895190929518,0.28392067,2,4.625947896,0.076488873,7.108896804552955e-15,,,,
K8,782,0.00898384648524,0.283366242,2,4.631079611,0.076636718,5.724587470723463e-17,,,,
K8,781,0.008883593404115,0.28287994380000003,2,4.638762411,0.075622192,5.551115123125783e-17,,,,
K8,780,0.008945156643105,0.28226635,2,4.642964877,0.076321698,6.938893903907228e-18,,,,
K8,779,0.00897533422397,0.281763725,2,4.649611328,0.076834721,2.0816681711721685e-17,,,,
