Color,Wavelength,R,T,x,K,S,error
K,800,0.006383364157368,0.00886693716,1.0,4.665435353936817,0.060334910239601316,4.423544863740858e-17
K,799,0.006372740571372,0.008886517286,1.0,4.6633567621899,0.060206394559898575,1.0321604682062002e-16
K,798,0.006463071930605,0.008715134859,1.0,4.6817372158464465,0.06131142483425179,1.3877787807814457e-17
K,797,0.006388442345039999,0.008730848432,1.0,4.680658546957185,0.06058040891388755,3.469446951953614e-18
K,796,0.00649996242822,0.008658453822,1.0,4.687832058714,0.061746180502075705,1.734723475976807e-18
K,795,0.006355461251785,0.008663655519,1.0,4.688596037231963,0.06036577831260494,1.214306433183765e-17
K,794,0.006445366244004,0.008641640544,1.0,4.6902635615648585,0.06125255275810566,2.6020852139652106e-18
K,793,0.006472185579375,0.008584803939,1.0,4.696525589025214,0.06159280981902562,1.9949319973733282e-17
K,792,0.00639015918332,0.008522068262,1.0,4.704538766700645,0.060905835462900605,1.214306433183765e-17
K,791,0.006403737520768,0.008482512832,1.0,4.709003988273982,0.0610948119184486,7.806255641895632e-18
K,790,0.006470464474376,0.008364822865,1.0,4.722166713490644,0.06191216478833467,0.0
K,789,0.006536555799929999,0.008238507509000001,1.0,4.736560094206981,0.06274340806035265,6.071532165918825e-18
K,788,0.006431339922929999,0.008264343143000001,1.0,4.734467317949389,0.06169313828038295,3.469446951953614e-18
K,787,0.006382373639795999,0.008138365149,1.0,4.750097882068974,0.061419367815269,3.469446951953614e-18
K,786,0.006459711617600001,0.008170183897,1.0,4.745510114990776,0.06211327566383305,4.336808689942018e-18
K,785,0.006501818725095,0.008016602397,1.0,4.763841602217718,0.06276482037485644,6.071532165918825e-18
K,784,0.0064832124589200004,0.007892371416,1.0,4.779436082999802,0.06278760176262004,2.6020852139652106e-18
K,783,0.006494402432895,0.007972114086,1.0,4.76940556676968,0.06276546841286962,0.0
K,782,0.0064230671027880005,0.007926754951,1.0,4.775720231724049,0.0621492618183158,1.734723475976807e-18
K,781,0.006401750662680001,0.007782658935,1.0,4.794036554314218,0.06217776436421785,4.336808689942018e-18
K,780,0.00644620987157,0.007674329281,1.0,4.807447369027504,0.06279023634727349,9.540979117872439e-18
K,779,0.00648778618537,0.007777452469,1.0,4.793871115355074,0.06302212923529203,5.204170427930421e-18
K,778,0.006472247850454999,0.007702300549,1.0,4.803605275810092,0.06299680813077561,1.1275702593849246e-17
K,777,0.00643969681848,0.007594255209000001,1.0,4.817864755207902,0.0628618173129655,3.382710778154774e-17
K,776,0.006470685714385,0.007627286911,1.0,4.81328138484256,0.06310819784632316,1.214306433183765e-17
K,775,0.0065060971047,0.007646765709,1.0,4.810422401413334,0.06342041309019764,2.2551405187698492e-17
K,774,0.006460219479392,0.0074824106690000005,1.0,4.832313397138706,0.06325377835456798,2.949029909160572e-17
K,773,0.0065177121928799995,0.007336775064,1.0,4.851158194896157,0.06407284969959527,7.719519468096792e-17
