Color,Wavelength,R,T,x,K,S,error
K8,800,0.00882626714898,0.290909138,2,4.844306203,0.095248991,1.8735013540549517e-15
K8,799,0.008915042216604,0.291197128,2,4.839460915,0.096147583,1.025221574302293e-15
K8,798,0.008994678264735,0.290763702,2,4.844481077,0.097096863,4.527628272299467e-16
K8,797,0.00885711740238,0.28972772599999996,2,4.8600135,0.095825141,9.43689570931383e-16
K8,796,0.00897707487299,0.289291897,2,4.86466262,0.097214292,2.931682674400804e-16
K8,795,0.008951181009905001,0.288620892,2,4.874088976,0.097074269,1.734723475976807e-16
K8,794,0.008849527430196,0.288166428,2,4.881387844,0.096066017,4.111294638065033e-16
K8,793,0.008970775324015001,0.288265915,2,4.878727735,0.097361382,1.8908485888147197e-16
K8,792,0.008981519905145001,0.28813842770000003,2,4.880355332,0.097504854,5.724587470723463e-17
K8,791,0.0088924049116,0.287601681,2,4.888657917,0.096649432,3.1051550219984847e-16
K8,790,0.008908256451262,0.286721497,2,4.900564991,0.097006419,5.898059818321144e-17
K8,789,0.00901565620296,0.286605187,2,4.901008232,0.098200778,3.469446951953614e-18
K8,788,0.008901701494685001,0.286200104,2,4.907807198,0.097044684,1.1275702593849246e-16
K8,787,0.008905362826808,0.285811691,2,4.913118776,0.097166477,9.020562075079397e-17
K8,786,0.008921279204235,0.285141144,2,4.922201936,0.097482072,6.245004513516506e-17
K8,785,0.00893064846353,0.28478756,2,4.926989541,0.097659535,1.1449174941446927e-16
K8,784,0.009023657259645,0.284956036,2,4.923655223,0.098640524,1.6445178552260131e-15
K8,783,0.00895190929518,0.28392067,2,4.938770908,0.098077035,7.108896804552955e-15
K8,782,0.00898384648524,0.283366242,2,4.946125838,0.098546059,5.724587470723463e-17
K8,781,0.008883593404115,0.28287994380000003,2,4.953979811,0.097549812,5.551115123125783e-17
K8,780,0.008945156643105,0.28226635,2,4.961867096,0.098357719,6.938893903907228e-18
K8,779,0.00897533422397,0.281763725,2,4.968560657,0.098798186,2.0816681711721685e-17
K8,778,0.00902747957105,0.281662731,2,4.969405956,0.099394209,9.367506770274758e-17
K8,777,0.008861890738735,0.281560593,2,4.972635795,0.097592758,1.726049858596923e-15
K8,776,0.008952183291315,0.281047516,2,4.978839264,0.098698119,7.632783294297951e-17
K8,775,0.00890107699587,0.279827976,2,4.996529549,0.098397796,3.642919299551295e-17
K8,774,0.008933160341966,0.279774456,2,4.996932824,0.098764111,1.717376241217039e-16
K8,773,0.008983311164702001,0.279248066,2,5.003804037,0.09943371,0
K8,772,0.00893952725847,0.278426209,2,5.015894557,0.0991284,1.249000902703301e-16
K8,771,0.00892770211132,0.278079395,2,5.020934481,0.099073043,6.938893903907228e-18
K8,770,0.008946641087585,0.27735763550000003,2,5.030965328,0.099441632,1.6306400674181987e-16
K8,769,0.008955844839409999,0.27764467239999996,2,5.026789455,0.099480818,5.377642775528102e-17
K8,768,0.00890696673718,0.276789093,2,5.039485124,0.099125198,2.949029909160572e-17
K8,767,0.00894139956788,0.276074772,2,5.04928665,0.099665988,6.418476861114186e-17
K8,766,0.00898712438095,0.275927391,2,5.050886754,0.100208435,6.765421556309548e-17
K8,765,0.008975865290232,0.27519506450000003,2,5.061479605,0.100245662,8.673617379884035e-18
K8,764,0.008994200548656,0.27483329770000003,2,5.066459045,0.10053122,7.112366251504909e-17
K8,763,0.008926895541435,0.274427567,2,5.073022171,0.099868937,1.734723475976807e-17
K8,762,0.008912114551765,0.273665199,2,5.084145043,0.09987294,3.2959746043559335e-17
K8,761,0.008931194677735,0.27343126300000004,2,5.087302848,0.100138974,1.3183898417423734e-16
K8,760,0.008947709793205,0.273024559,2,5.092983713,0.100415205,1.1275702593849246e-16
K8,759,0.00890725022263,0.271807194,2,5.111037196,0.100233387,8.847089727481716e-17
K8,758,0.008952670198545,0.271550655,2,5.114252093,0.10080239,2.96637714392034e-16
K8,757,0.008986712792235,0.271050968,2,5.121128434,0.101299031,5.724587470723463e-17
K8,756,0.00896169844547,0.270257263,2,5.132958522,0.101197051,4.510281037539698e-16
K8,755,0.008929590116622,0.270238991,2,5.13358295,0.10083859,3.2612801348363973e-16
K8,754,0.00893536571276,0.269277668,2,5.147556635,0.101122061,5.776629175002768e-16
K8,753,0.00890171454212,0.269291916,2,5.14772432,0.100737974,4.683753385137379e-16
K8,752,0.008971185450768,0.267934475,2,5.166853496,0.101835207,1.0304257447302234e-15
K8,751,0.00896412467934,0.267433853,2,5.174299277,0.101870135,1.0755285551056204e-15
K8,750,0.008949350806905,0.266756382,2,5.184456214,0.101858124,1.124100812432971e-15
K8,749,0.008926524676286,0.266195946,2,5.192997388,0.1017273,6.990935608186533e-16
K8,748,0.008921288692554999,0.265478497,2,5.203687457,0.101833138,7.45931094670027e-17
K8,747,0.008881245617916,0.264874497,2,5.21311178,0.101515158,3.469446951953614e-18
K8,746,0.008981497368395,0.263878079,2,5.226824807,0.102894097,5.724587470723463e-17
K8,745,0.008957721343905,0.263278446,2,5.236054477,0.10276202,9.540979117872439e-17
K8,744,0.008993021830525,0.262623692,2,5.245461657,0.10332128,7.112366251504909e-17
K8,743,0.00902233539132,0.2618503,2,5.256744023,0.103841501,1.214306433183765e-16
K8,742,0.00892501907989,0.261095352,2,5.269222937,0.102899099,1.9532986339498848e-15
K8,741,0.00881276172719,0.260273933,2,5.282915106,0.101796397,2.0816681711721685e-15
K8,740,0.00885528753964,0.259628525,2,5.292210578,0.102439455,2.014013955609073e-15
K8,739,0.008872019717345,0.259086514,2,5.300251654,0.102761107,1.0980799602933189e-15
K8,738,0.008892433055755,0.257994614,2,5.316653953,0.10325715,1.960237527853792e-16
K8,737,0.0088833769349,0.257260685,2,5.327979358,0.103327029,7.945033519973776e-16
K8,736,0.00885607908732,0.256317234,2,5.342765688,0.10323469,1.366962099069724e-15
K8,735,0.00891389067157,0.255927563,2,5.348092706,0.104002553,1.403391292065237e-15
K8,734,0.008866006618920001,0.254906349,2,5.364393723,0.103689426,1.734723475976807e-15
K8,733,0.008823180697002,0.25360977170000004,2,5.384976734,0.103500535,8.500145032286355e-17
K8,732,0.00884448187347,0.252747498,2,5.398145764,0.103959474,1.734723475976807e-18
K8,731,0.008797647285191999,0.252581234,2,5.401281752,0.103449127,1.1275702593849246e-16
K8,730,0.00878590057187,0.251545277,2,5.417609031,0.103561797,1.214306433183765e-16
K8,729,0.008809407140856,0.250658722,2,5.431243547,0.104055083,3.8163916471489756e-17
K8,728,0.008774015371476,0.24988292690000002,2,5.443868068,0.103826176,1.5265566588595902e-16
K8,727,0.008779552984295001,0.249257965,2,5.453668181,0.104044698,7.28583859910259e-17
K8,726,0.00875097015759,0.24809425350000003,2,5.472438389,0.103991104,2.949029909160572e-17
K8,725,0.008715094396795,0.247269249,2,5.485982424,0.10376704,3.2959746043559335e-17
K8,724,0.00872269276106,0.246483154,2,5.498437607,0.10405118,1.0234868508263162e-16
K8,723,0.00873298898325,0.24585319519999999,2,5.508397866,0.104329919,8.673617379884035e-17
K8,722,0.00870972240274,0.24491065979999999,2,5.523805128,0.104285474,2.3245294578089215e-16
K8,721,0.008731308234225,0.243901348,2,5.539818597,0.104795828,3.157196726277789e-16
K8,720,0.008665812966175001,0.243082352,2,5.553847105,0.104213433,3.5561831257524545e-16
K8,719,0.00873427443264,0.24220808030000002,2,5.567227886,0.10525692,3.972516759986888e-16
K8,718,0.008610304980088001,0.240934467,2,5.589477127,0.104080642,6.574601973952099e-16
K8,717,0.008612232285454,0.24003997800000001,2,5.604109421,0.104328362,8.656270145124267e-16
K8,716,0.008548789733620001,0.238735714,2,5.626337978,0.103886349,1.1848161340921592e-15
K8,715,0.008492770155828,0.237888718,2,5.641016953,0.103417357,1.078998002057574e-15
K8,714,0.00852653266101,0.236425285,2,5.664927131,0.104198042,2.787700625894729e-15
K8,713,0.008506900280385,0.235103359,2,5.687259398,0.104293451,9.141992718397773e-16
K8,712,0.00848024847804,0.233733597,2,5.710609195,0.104315405,1.3704315460216776e-16
K8,711,0.008420884280628,0.232153416,2,5.738065579,0.103987565,1.231653667943533e-16
K8,710,0.008408997974796,0.23053045269999997,2,5.765859532,0.10425688,4.0072112295064244e-16
