Color,Wavelength,R,T,x,K,S,error,,,,
M,800,0.0173597851872,0.910740891,1,0.176404648,0.044990572,0,,,,
M,799,0.0175221221316,0.91243782,1,0.171672392,0.045329483,3.469446951953614e-18,,,,
M,798,0.01746129274035,0.9110495,1,0.175360151,0.045238821,3.469446951953614e-18,,,,
M,797,0.01745047897512,0.911098175,1,0.175263698,0.045208461,6.938893903907228e-18,,,,
M,796,0.0175692165596,0.9110926055999999,1,0.174975789,0.045516375,0,,,,
M,795,0.01755894347315,0.911835938,1,0.173109801,0.045453817,1.1102230246251565e-16,,,,
M,794,0.01757109095964,0.910335693,1,0.176899256,0.045557903,1.1102230246251565e-16,,,,
M,793,0.01767092148955,0.9112222289999999,1,0.174387038,0.04577358,6.938893903907228e-18,,,,
M,792,0.017733998,0.912499924,1,0.170976288,0.045874638,0,,,,
M,791,0.0176613722194,0.911363907,1,0.174050662,0.045741949,0,,,,
M,790,0.01777395458776,0.910163651,1,0.176821209,0.046092382,6.938893903907228e-18,,,,
M,789,0.017832549826849998,0.9114038085999999,1,0.173513834,0.046183381,6.938893903907228e-18,,,,
M,788,0.01766298033485,0.911728058,1,0.173119824,0.045728406,4.163336342344337e-17,,,,
M,787,0.0177773695841,0.9109356689000001,1,0.174845873,0.046063385,3.469446951953614e-18,,,,
M,786,0.0177858351838,0.911568756,1,0.173212853,0.046054305,1.1449174941446927e-16,,,,
M,785,0.0178940804378,0.911458817,1,0.17321742,0.046340043,0,,,,
M,784,0.017840526562750002,0.9118212128000001,1,0.172431553,0.046183542,6.938893903907228e-18,,,,
M,783,0.01785520969815,0.9119071959999999,1,0.172175534,0.046217332,0,,,,
M,782,0.01785707707104,0.91146553,1,0.173294408,0.046243875,0,,,,
M,781,0.0177874103683,0.912592697,1,0.170604814,0.046008287,3.469446951953614e-18,,,,
M,780,0.017999094678050002,0.911246872,1,0.173489778,0.046622536,2.2898349882893854e-16,,,,
M,779,0.017818796618449997,0.911603394,1,0.173040927,0.046137966,3.469446951953614e-18,,,,
M,778,0.0179629318707,0.910494003,1,0.175498539,0.046566132,0,,,,
M,777,0.01799584586375,0.9113972472999999,1,0.17311538,0.046606666,1.1449174941446927e-16,,,,
M,776,0.0180410090431,0.91144371,1,0.172882358,0.046721337,3.8163916471489756e-17,,,,
M,775,0.0179893850004,0.9105841827000001,1,0.175201552,0.046630241,3.8163916471489756e-17,,,,
M,774,0.01800957878888,0.9104163361000001,1,0.175577664,0.04669093,0,,,,
M,773,0.01807514627926,0.9110934448000001,1,0.173686878,0.046827194,1.1449174941446927e-16,,,,
M,772,0.01808311673665,0.9099495697000001,1,0.176579669,0.0469049,6.938893903907228e-18,,,,
M,771,0.01812479505785,0.911188278,1,0.173319303,0.046951098,1.1102230246251565e-16,,,,
M,770,0.0181430923417,0.910855866,1,0.174118813,0.047015122,3.469446951953614e-18,,,,
M,769,0.01807644497008,0.9106884766000001,1,0.174714485,0.046850737,3.122502256758253e-17,,,,
M,768,0.018302405343849998,0.910969772,1,0.173423793,0.047422262,1.1449174941446927e-16,,,,
M,767,0.0181644676282,0.9097805786000001,1,0.176803208,0.047124414,3.469446951953614e-18,,,,
M,766,0.01825668350185,0.9098999023000001,1,0.17626439,0.047357664,0,,,,
M,765,0.01821380634336,0.910927887,1,0.173755666,0.047194773,1.1102230246251565e-16,,,,
M,764,0.018276159887520002,0.9106773375999999,1,0.174234857,0.047368985,1.491862189340054e-16,,,,
M,763,0.018332925715149998,0.909820099,1,0.176273651,0.0475595,1.4224732503009818e-16,,,,
M,762,0.0183592092272,0.909947662,1,0.175881757,0.047621227,6.938893903907228e-18,,,,
M,761,0.0184006265997,0.9099362182999999,1,0.175805503,0.047729252,3.469446951953614e-18,,,,
M,760,0.01837951818215,0.9096958159999999,1,0.176471723,0.047686695,1.1449174941446927e-16,,,,
M,759,0.01836726662775,0.9094490813999999,1,0.177131719,0.047667425,0,,,,
M,758,0.0183936841663,0.91076889,1,0.173702948,0.047668984,3.469446951953614e-18,,,,
M,757,0.0185035769612,0.911460724,1,0.171663586,0.047918544,3.469446951953614e-18,,,,
M,756,0.0184314921365,0.9094318389999999,1,0.177012128,0.047835005,1.1449174941446927e-16,,,,
M,755,0.018584726313440002,0.910363464,1,0.174249106,0.048184931,2.7755575615628914e-17,,,,
M,754,0.0185887222952,0.9099884796000001,1,0.175193748,0.048214531,1.1449174941446927e-16,,,,
M,753,0.018554148910799997,0.909222717,1,0.177232818,0.048164099,1.1102230246251565e-16,,,,
M,752,0.01857615285648,0.909938431,1,0.175353197,0.048184492,0,,,,
M,751,0.01861276994275,0.9098364257999999,1,0.175519831,0.048284728,3.469446951953614e-18,,,,
M,750,0.01858380577135,0.909281235,1,0.177008148,0.048238088,3.469446951953614e-18,,,,
M,749,0.01862307453524,0.9092658996999999,1,0.176947245,0.048340821,3.469446951953614e-17,,,,
M,748,0.0186346849272,0.9102290343999999,1,0.174464278,0.048321388,0,,,,
M,747,0.018714948723360002,0.9088591003000001,1,0.177750254,0.048600388,1.1102230246251565e-16,,,,
M,746,0.018768912417200002,0.909649048,1,0.175599773,0.048699554,3.469446951953614e-18,,,,
M,745,0.0187729120585,0.909189072,1,0.176761545,0.048733799,1.3183898417423734e-16,,,,
M,744,0.01883839,0.909447632,1,0.175936044,0.048890335,1.1102230246251565e-16,,,,
M,743,0.01883353988364,0.9093196106000001,1,0.176274559,0.04888441,3.469446951953614e-18,,,,
M,742,0.0188498327424,0.908947372,1,0.177181709,0.048946107,0,,,,
M,741,0.018907564184650002,0.910508041,1,0.173060251,0.049014525,3.122502256758253e-17,,,,
M,740,0.01882788217675,0.908946686,1,0.177239356,0.048889138,2.0816681711721685e-17,,,,
M,739,0.0188378622954,0.909716187,1,0.175253319,0.048874987,1.1102230246251565e-16,,,,
M,738,0.01887632619945,0.9099707793999999,1,0.174507158,0.048961523,1.1796119636642288e-16,,,,
M,737,0.01898580147245,0.909417419,1,0.175637847,0.04927454,1.1102230246251565e-16,,,,
M,736,0.01905042964044,0.909890747,1,0.174268078,0.049417383,1.1102230246251565e-16,,,,
M,735,0.019087299937580002,0.9095978546000001,1,0.174920038,0.049528481,1.1449174941446927e-16,,,,
M,734,0.01906036295165,0.910046005,1,0.173847596,0.049434983,1.1449174941446927e-16,,,,
M,733,0.01903930141932,0.9097720336999999,1,0.174598625,0.049394755,3.469446951953614e-18,,,,
M,732,0.01912117002845,0.908741684,1,0.177015052,0.049661645,0,,,,
M,731,0.01918338861864,0.90935936,1,0.175282938,0.049790492,3.469446951953614e-18,,,,
M,730,0.0191729482663,0.908948746,1,0.176355544,0.049785159,1.2836953722228372e-16,,,,
M,729,0.019294672983479998,0.909410782,1,0.174868845,0.050076628,0,,,,
M,728,0.0192642774738,0.90890358,1,0.176238144,0.050024747,2.2898349882893854e-16,,,,
M,727,0.0192722868574,0.909541473,1,0.174593011,0.050011559,1.1102230246251565e-16,,,,
M,726,0.01926380600475,0.908931046,1,0.176169364,0.050022058,1.1102230246251565e-16,,,,
M,725,0.019278716875749998,0.9095369719999999,1,0.174588116,0.050028487,2.42861286636753e-17,,,,
M,724,0.0192954816805,0.908664398,1,0.176768197,0.050118557,3.469446951953614e-18,,,,
M,723,0.01929471424695,0.909117508,1,0.175615671,0.050092378,2.255140518769849e-16,,,,
M,722,0.01937265026865,0.908852844,1,0.176091558,0.050308923,2.220446049250313e-16,,,,
M,721,0.019389942,0.9084725188999999,1,0.177016721,0.050374242,1.1449174941446927e-16,,,,
M,720,0.01945236429565,0.9090933990000001,1,0.175275913,0.050503018,1.4224732503009818e-16,,,,
M,719,0.01946818383276,0.909036789,1,0.175379844,0.050547143,3.469446951953614e-18,,,,
M,718,0.01938946077138,0.9091851044000001,1,0.175202405,0.050334766,1.1449174941446927e-16,,,,
M,717,0.019433734883219998,0.909476547,1,0.174347651,0.050434061,2.42861286636753e-17,,,,
M,716,0.0195105334185,0.908646774,1,0.176265629,0.050678167,3.469446951953614e-18,,,,
M,715,0.019506507988940002,0.908515244,1,0.176611042,0.050674811,1.1449174941446927e-16,,,,
M,714,0.01954930448002,0.908590164,1,0.176311179,0.050781951,0,,,,
M,713,0.01965928272455,0.908315353,1,0.17673149,0.051082632,3.469446951953614e-18,,,,
M,712,0.01964433034215,0.9086582946999999,1,0.175895718,0.051025124,1.1102230246251565e-16,,,,
M,711,0.01964609847612,0.9086611175999999,1,0.175884026,0.051029564,1.734723475976807e-17,,,,
M,710,0.0197186808108,0.9091568755999999,1,0.174436747,0.051191076,2.255140518769849e-16,,,,
M,709,0.01967684935005,0.909243927,1,0.174321518,0.051077727,3.469446951953614e-18,,,,
M,708,0.01969868486385,0.9082810974000001,1,0.176718473,0.051186897,1.1449174941446927e-16,,,,
M,707,0.01972584038748,0.908512573,1,0.176059509,0.051244828,0,,,,
M,706,0.0197576807123,0.907993698,1,0.177300779,0.051355949,3.469446951953614e-18,,,,
M,705,0.019817761854960002,0.908413544,1,0.176077844,0.051489094,1.1449174941446927e-16,,,,
M,704,0.0198056384188,0.9083578491000001,1,0.176250609,0.051460646,3.469446951953614e-17,,,,
M,703,0.019844668109700002,0.907825241,1,0.177508683,0.051591352,1.1796119636642288e-16,,,,
M,702,0.01987872503292,0.9083930968999999,1,0.175974768,0.051648633,2.42861286636753e-17,,,,
M,701,0.01994329055364,0.908842239,1,0.17466651,0.051791619,1.3530843112619095e-16,,,,
M,700,0.01991950370316,0.907849808,1,0.177255469,0.051784578,3.469446951953614e-18,,,,
M,699,0.0199912655436,0.90744545,1,0.178103625,0.051993576,0,,,,
M,698,0.019971269949549997,0.90861084,1,0.175184603,0.051877078,3.469446951953614e-18,,,,
M,697,0.019984812707720002,0.90891449,1,0.17437693,0.051895471,6.938893903907228e-18,,,,
M,696,0.02004473899835,0.9082161713000001,1,0.176002975,0.052089852,1.1102230246251565e-16,,,,
M,695,0.020057425689600002,0.9081043243000001,1,0.176255655,0.05212904,1.1102230246251565e-16,,,,
M,694,0.02008135027692,0.908148651,1,0.176081814,0.052188763,1.1796119636642288e-16,,,,
M,693,0.02010184824576,0.908011322,1,0.176379551,0.05224969,1.1449174941446927e-16,,,,
M,692,0.020109252738699998,0.907916794,1,0.176601585,0.052274207,1.734723475976807e-17,,,,
M,691,0.0201420113426,0.907774887,1,0.176879836,0.052367298,1.1102230246251565e-16,,,,
M,690,0.020183748975750003,0.907678833,1,0.177018381,0.052481202,1.1102230246251565e-16,,,,
M,689,0.020206975817949998,0.907682114,1,0.176950876,0.052541421,0,,,,
M,688,0.020229659410049998,0.907695313,1,0.176859477,0.052599671,1.2836953722228372e-16,,,,
M,687,0.02030904587676,0.907324753,1,0.177601905,0.052826987,1.1796119636642288e-16,,,,
M,686,0.0202892484246,0.906959305,1,0.178584247,0.05279606,3.469446951953614e-18,,,,
M,685,0.02031341222165,0.9077178191999999,1,0.176588876,0.052816204,1.3530843112619095e-16,,,,
M,684,0.0203194709856,0.907153091,1,0.17801304,0.052863787,1.3530843112619095e-16,,,,
M,683,0.0203317901602,0.9072959899999999,1,0.177617306,0.05288778,1.1449174941446927e-16,,,,
M,682,0.0203805093601,0.906653137,1,0.179132678,0.053050899,0,,,,
M,681,0.02039406923005,0.906984558,1,0.178252771,0.053067433,3.469446951953614e-18,,,,
M,680,0.02044403150335,0.906158752,1,0.180232307,0.053244359,0,,,,
M,679,0.0204505125254,0.9069789885999999,1,0.178123177,0.053214643,1.1102230246251565e-16,,,,
M,678,0.02046459429275,0.906908875,1,0.178266104,0.053255274,0,,,,
M,677,0.0205124784588,0.906559753,1,0.179034578,0.053399791,3.469446951953614e-18,,,,
M,676,0.0205296531438,0.906179581,1,0.179960843,0.053466197,3.469446951953614e-18,,,,
M,675,0.02056628686044,0.906331711,1,0.179479244,0.053552922,0,,,,
M,674,0.020541930130449998,0.906551819,1,0.178979762,0.053476926,3.469446951953614e-18,,,,
M,673,0.02062896140735,0.9061428069999999,1,0.179801509,0.053726979,0,,,,
M,672,0.02058321098208,0.9063537598000001,1,0.179379846,0.053595737,1.1102230246251565e-16,,,,
M,671,0.02064010757172,0.9059245300000001,1,0.18033018,0.05376854,1.3877787807814457e-17,,,,
M,670,0.02067573773045,0.90585289,1,0.180422189,0.053865493,0,,,,
M,669,0.020699820500759997,0.905754547,1,0.180611816,0.053933907,0,,,,
M,668,0.020662448301500002,0.905800018,1,0.180591044,0.053833904,1.734723475976807e-17,,,,
M,667,0.02068878755345,0.905788574,1,0.180553088,0.053903198,6.938893903907228e-18,,,,
M,666,0.02074922506884,0.905483933,1,0.18117672,0.054078277,0,,,,
M,665,0.0207143273627,0.9055041504000001,1,0.181214113,0.053986144,1.1102230246251565e-16,,,,
M,664,0.02070028680062,0.9054947661999999,1,0.181273891,0.053950086,1.1102230246251565e-16,,,,
M,663,0.02078649994056,0.905363922,1,0.181388086,0.054182385,1.1102230246251565e-16,,,,
M,662,0.0207354700469,0.904746933,1,0.183094466,0.054084985,1.3530843112619095e-16,,,,
M,661,0.020766811344099998,0.905168915,1,0.181936359,0.054142333,1.734723475976807e-17,,,,
M,660,0.020785322125099998,0.904853439,1,0.182695056,0.054208868,1.1102230246251565e-16,,,,
M,659,0.02076454820665,0.9044821167000001,1,0.183697055,0.054176172,1.3877787807814457e-17,,,,
M,658,0.020727310549400003,0.904682465,1,0.183280054,0.054067424,6.938893903907228e-18,,,,
M,657,0.020808104495280002,0.904219132,1,0.184258139,0.054305093,6.938893903907228e-18,,,,
M,656,0.020814812,0.904451675,1,0.183646521,0.054309101,1.1449174941446927e-16,,,,
M,655,0.0207909443925,0.904200821,1,0.184348786,0.054261364,6.938893903907228e-18,,,,
M,654,0.0207377914328,0.903804092,1,0.18549922,0.054145581,1.1102230246251565e-16,,,,
M,653,0.0207392551176,0.9033150482000001,1,0.186746856,0.05417773,1.1796119636642288e-16,,,,
