Color,Wavelength,R,T,x,K,S,error
M,800,0.02563779871296,0.9088953399999999,2.0,0.03386486202690979,0.014084090423437655,2.0122792321330962e-16
M,799,0.02569741190256,0.9099771118,2.0,0.033254190775346054,0.014100593267898483,1.1102230246251565e-16
M,798,0.02575850023035,0.9092974091000001,2.0,0.03358511223456886,0.014144354622144983,1.942890293094024e-16
M,797,0.025777043377440002,0.9089926147,2.0,0.03373831050612768,0.014159135485788116,1.97758476261356e-16
M,796,0.0258532864477,0.9097232056,2.0,0.0333066779816441,0.014189980260113644,1.1102230246251565e-16
M,795,0.025929051837100002,0.9105375671,2.0,0.032830917152993015,0.014219244759518147,1.1796119636642288e-16
M,794,0.025754244379680002,0.9100792694000001,2.0,0.03316920653440931,0.014130249063123356,7.28583859910259e-17
M,793,0.025920649281,0.909776001,2.0,0.03324245217203352,0.014226162786075205,3.469446951953614e-18
M,792,0.02590477645395,0.9104846954,2.0,0.03287212601501134,0.01420672837322486,1.1102230246251565e-16
M,791,0.02578434204836,0.9092026520000001,2.0,0.03362199962234003,0.014159977184984915,3.0184188481996443e-16
M,790,0.0259173989977,0.9080312347,2.0,0.034178015376174355,0.014250843091529795,0.0
M,789,0.026037348104750002,0.9100813293000001,2.0,0.03301688951866131,0.0142855828956417,0.0
M,788,0.026057158883099996,0.9092765045,2.0,0.03343664020590502,0.014308711367222142,1.1796119636642288e-16
M,787,0.02596315665454,0.9096916199,2.0,0.03326486064992366,0.014250778323666006,6.938893903907228e-17
M,786,0.02596484219605,0.9099951172,2.0,0.033101696517854794,0.01424709958253596,3.469446951953614e-18
M,785,0.026160288354549997,0.9096987152,2.0,0.03315574703737764,0.014358899391784401,5.551115123125783e-17
M,784,0.02602412272395,0.9095105743,2.0,0.03332910093427978,0.01428700391906877,1.1796119636642288e-16
M,783,0.02614288779455,0.9092404175,2.0,0.03341012242833318,0.01435635103367183,1.1449174941446927e-16
M,782,0.026047273695120002,0.9096411133,2.0,0.0332469232994338,0.014297729190015256,6.591949208711867e-17
M,781,0.02616723435005,0.9099359131,2.0,0.03302524312151285,0.014359086286717353,5.551115123125783e-17
M,780,0.02606881619365,0.9089743042,2.0,0.03359208714972835,0.014319723049087364,7.979727989493313e-17
M,779,0.026150192,0.9085639191,2.0,0.033768202775723725,0.014370716498042597,1.1796119636642288e-16
M,778,0.02611289525085,0.9079891968,2.0,0.03409589697922401,0.014359008145799596,3.469446951953614e-18
M,777,0.026207294781349998,0.9094602965999999,2.0,0.03325810977534049,0.014388359213568928,0.0
M,776,0.0263319573065,0.9092803955,2.0,0.03328770039101298,0.014459588991328366,1.1449174941446927e-16
M,775,0.02623279663135,0.9082447052,2.0,0.03389490715630186,0.014421028071335327,1.1102230246251565e-16
M,774,0.02620654576498,0.9091054535,2.0,0.03344829185159071,0.014393386530130739,6.591949208711867e-17
M,773,0.026328727340440002,0.9089741516,2.0,0.03345322215154275,0.014462531856388766,1.8735013540549517e-16
M,772,0.02630554213605,0.9076953125,2.0,0.03415021094929543,0.01446950095911028,2.185751579730777e-16
M,771,0.026351687430149998,0.9084811401,2.0,0.033704746457405385,0.014482752933838982,6.938893903907228e-18
M,770,0.026390689838150003,0.9089115143,2.0,0.03345360924956264,0.014497544276191203,1.1449174941446927e-16
M,769,0.026396844818540002,0.9085419464000001,2.0,0.03364805561865022,0.01450663749281598,0.0
M,768,0.02645740504585,0.9080709839,2.0,0.033867759086793243,0.014547227724244091,2.2898349882893854e-16
M,767,0.02638329073955,0.9085504913,2.0,0.03365073052616474,0.014499054796257236,1.1449174941446927e-16
M,766,0.0264673305987,0.9078401947,2.0,0.03398602633211105,0.01455626753823173,1.1796119636642288e-16
M,765,0.02654149277952,0.9081457519999999,2.0,0.0337827523142576,0.014592311024079789,2.0469737016526324e-16
M,764,0.02643090774612,0.9076837921,2.0,0.034089283189687444,0.014538655174296776,1.1449174941446927e-16
M,763,0.026619705913599998,0.9073007965,2.0,0.03419339579072317,0.014648514723277762,5.204170427930421e-17
M,762,0.02651366093295,0.90858284,2.0,0.033563713370578716,0.014570216451231457,2.1510571102112408e-16
M,761,0.02662652380285,0.9078168488,2.0,0.03391335166641038,0.014644206385235767,1.1449174941446927e-16
M,760,0.0265823000428,0.9075070953,2.0,0.03410290370103789,0.014624707294357121,1.1102230246251565e-16
M,759,0.026514586113799997,0.9071343231,2.0,0.034338875746913924,0.014593244661083273,3.469446951953614e-18
M,758,0.0267296414139,0.908595047,2.0,0.033441724392667474,0.014688745399409299,1.3183898417423734e-16
M,757,0.0267243583818,0.9079097747999999,2.0,0.03381126271000652,0.014696571942064625,0.0
M,756,0.0266970512436,0.9075305939,2.0,0.03402890602034832,0.014687488025517441,1.1796119636642288e-16
M,755,0.02668486352504,0.907984848,2.0,0.033792199724684585,0.014673672344122115,1.1102230246251565e-16
M,754,0.0267289036413,0.9072134398999999,2.0,0.03418174275813245,0.014709991235686249,1.1102230246251565e-16
