Color,Wavelength,R,T,x,K,S,error,,,,
W8,800,0.32158944990480004,0.532539673,2,0.31943258,2.311004206,4.2021941482062175e-14,,,,
W8,799,0.3229420880232,0.531372604,2,0.323662401,2.325544776,4.207745263329343e-14,,,,
W8,798,0.322904988,0.530720825,2,0.322674037,2.327422307,3.7692071686024065e-14,,,,
W8,797,0.32515681872240004,0.529511795,2,0.313568282,2.349233322,7.91033905045424e-14,,,,
W8,796,0.3254496879325,0.5292007827999999,2,0.321859191,2.352655648,7.521760991835436e-14,,,,
W8,795,0.32710313754049997,0.528022232,2,0.319603876,2.369945491,3.980149543281186e-14,,,,
W8,794,0.3273442314324,0.527241516,2,0.320794538,2.374566472,4.624078897563777e-14,,,,
W8,793,0.32911660212800004,0.526929779,2,0.316480376,2.389423886,0,,,,
W8,792,0.329339367,0.526993027,2,0.315548081,2.390806474,1.1102230246251565e-16,,,,
W8,791,0.32995477060420003,0.525546722,2,0.316327091,2.401198047,1.7930101847696278e-14,,,,
W8,790,0.3315298501816,0.524790764,2,0.309866687,2.416135486,5.551115123125783e-17,,,,
W8,789,0.332866641,0.523923264,2,0.312921728,2.429586281,2.220446049250313e-16,,,,
W8,788,0.333740279,0.52279438,2,0.311142596,2.44103217,1.6653345369377348e-16,,,,
W8,787,0.33428209682279997,0.521937714,2,0.311553268,2.448904021,1.1102230246251565e-16,,,,
W8,786,0.3356873203435,0.521222725,2,0.310535704,2.462565969,2.220446049250313e-16,,,,
W8,785,0.33696747,0.521482391,2,0.302410747,2.471139784,0,,,,
W8,784,0.337697141,0.519880295,2,0.306819574,2.483416099,2.7755575615628914e-16,,,,
W8,783,0.3382821605455,0.519602585,2,0.310292154,2.489540719,1.6653345369377348e-16,,,,
W8,782,0.340052137,0.517873306,2,0.307957034,2.510128313,1.6653345369377348e-16,,,,
W8,781,0.34019272571549997,0.516962242,2,0.311518176,2.514852439,1.1102230246251565e-16,,,,
W8,780,0.34173242055549996,0.516749458,2,0.301493378,2.527896381,2.220446049250313e-16,,,,
W8,779,0.342637639,0.514801369,2,0.306531286,2.543051655,1.6653345369377348e-16,,,,
W8,778,0.34272277470150003,0.514524765,2,0.306855534,2.544876076,2.7755575615628914e-16,,,,
W8,777,0.344450884,0.513019981,2,0.309874216,2.564724471,4.996003610813204e-16,,,,
W8,776,0.34515854037300003,0.513765564,2,0.299014153,2.56714665,2.220446049250313e-16,,,,
W8,775,0.34650944082850005,0.511815186,2,0.303639522,2.586245313,3.3306690738754696e-16,,,,
W8,774,0.3467898341026,0.511249847,2,0.302136469,2.590778733,3.3306690738754696e-16,,,,
W8,773,0.347728041,0.510222969,2,0.30694313,2.602412158,3.885780586188048e-16,,,,
W8,772,0.3490181203985,0.50944149,2,0.299176315,2.61601228,3.885780586188048e-16,,,,
W8,771,0.3497827108355,0.507832413,2,0.309467716,2.629178072,3.885780586188048e-16,,,,
W8,770,0.35088966654399995,0.507260819,2,0.304300438,2.640797211,4.996003610813204e-16,,,,
W8,769,0.3516436530964,0.5067174529999999,2,0.303371915,2.648845132,4.440892098500626e-16,,,,
W8,768,0.35297206,0.505734139,2,0.29742634,2.664185701,6.661338147750939e-16,,,,
W8,767,0.35349559005099995,0.504421997,2,0.30365356,2.674061414,1.1102230246251565e-16,,,,
W8,766,0.355298208,0.503802185,2,0.296730215,2.691306321,5.551115123125783e-17,,,,
W8,765,0.3563741070864,0.503364334,2,0.296510725,2.702170709,8.326672684688674e-16,,,,
W8,764,0.35764855273080004,0.502157745,2,0.299062329,2.718121814,5.551115123125783e-17,,,,
W8,763,0.3585504878545,0.5022914886000001,2,0.287567284,2.724562294,1.1102230246251565e-15,,,,
W8,762,0.359322518,0.500808716,2,0.292909815,2.737805559,0,,,,
W8,761,0.36020310245849996,0.500233536,2,0.292858655,2.74755567,5.551115123125783e-17,,,,
W8,760,0.36124545669749997,0.499766007,2,0.286483477,2.758276457,5.551115123125783e-17,,,,
W8,759,0.3621154136545,0.49863002780000004,2,0.2907699,2.770535779,5.551115123125783e-17,,,,
W8,758,0.36342888927449996,0.498090096,2,0.288649375,2.783921423,5.551115123125783e-17,,,,
W8,757,0.364784952,0.497422829,2,0.283007311,2.798143589,1.6653345369377348e-16,,,,
W8,756,0.365715601,0.49640037540000004,2,0.284935685,2.81061745,2.220446049250313e-16,,,,
W8,755,0.3665133461976,0.495444222,2,0.28473152,2.821937598,1.6653345369377348e-16,,,,
W8,754,0.3675739,0.494717522,2,0.282164445,2.834155155,5.551115123125783e-17,,,,
W8,753,0.3686425581335,0.494239616,2,0.280979608,2.845045068,1.6653345369377348e-16,,,,
W8,752,0.3705655416732,0.49296798709999995,2,0.276094575,2.867485744,1.1102230246251565e-16,,,,
W8,751,0.3708438300655,0.49237586980000003,2,0.275550723,2.872543245,1.6653345369377348e-16,,,,
W8,750,0.37228111900800004,0.491596642,2,0.271618373,2.888138066,1.1102230246251565e-16,,,,
W8,749,0.3726108405964,0.490126,2,0.277607656,2.897996361,3.885780586188048e-16,,,,
W8,748,0.37433178057600003,0.490246277,2,0.270462825,2.912294672,2.220446049250313e-16,,,,
W8,747,0.3758778405396,0.489417152,2,0.265448178,2.92944473,2.220446049250313e-16,,,,
W8,746,0.3767363462315,0.488658066,2,0.265981947,2.940505918,2.220446049250313e-16,,,,
W8,745,0.3773165832675,0.487233162,2,0.268865412,2.952139693,1.1102230246251565e-16,,,,
W8,744,0.3781253926985,0.486253128,2,0.270731884,2.964076896,1.6653345369377348e-16,,,,
W8,743,0.3799403901792,0.48596374509999996,2,0.26437239,2.980866724,9.492406860545088e-15,,,,
W8,742,0.38063452777949996,0.484999466,2,0.263074064,2.991905216,9.936496070395151e-15,,,,
W8,741,0.381261793,0.48425865170000004,2,0.266808732,3.000880882,1.0269562977782698e-14,,,,
W8,740,0.38283952,0.483103333,2,0.263669833,3.020362905,1.1934897514720433e-14,,,,
W8,739,0.3833241827255,0.482612534,2,0.262985092,3.026843594,1.2323475573339238e-14,,,,
W8,738,0.384860727,0.481392708,2,0.262609398,3.046462179,1.4155343563970746e-14,,,,
W8,737,0.3854821086765,0.4808955,2,0.263486368,3.054323877,1.4932499681208355e-14,,,,
W8,736,0.3871870211436,0.479389381,2,0.263650521,3.077000299,1.7430501486614958e-14,,,,
W8,735,0.3880943367307,0.479097176,2,0.260022649,3.086491223,1.915134717478395e-14,,,,
W8,734,0.38871821961249997,0.47841907499999997,2,0.261527948,3.095394368,2.0039525594484076e-14,,,,
W8,733,0.38929449721959997,0.47695171360000005,2,0.265111217,3.108141977,1.9817480989559044e-14,,,,
W8,732,0.390604037,0.47627964,2,0.258932736,3.123196264,2.2815083156046967e-14,,,,
W8,731,0.39173795061840005,0.475242157,2,0.261608651,3.138675676,2.4980018054066022e-14,,,,
W8,730,0.3929116626345,0.47491333,2,0.254372534,3.150948002,2.853273173286652e-14,,,,
W8,729,0.39434444138400004,0.473946991,2,0.256048235,3.168672517,3.0309088572266774e-14,,,,
W8,728,0.395138866,0.472804451,2,0.258174285,3.181964834,3.3362201889985954e-14,,,,
W8,727,0.3955717117535,0.471708336,2,0.260579283,3.191627286,3.36952687973735e-14,,,,
W8,726,0.396718332,0.471421852,2,0.254753846,3.203528327,3.608224830031759e-14,,,,
W8,725,0.39801499275950003,0.46996742249999995,2,0.256677948,3.223041765,4.0190073491430667e-14,,,,
W8,724,0.3986387276135,0.46907562259999996,2,0.25423625,3.233554816,4.318767565791859e-14,,,,
W8,723,0.400109987,0.46848857879999994,2,0.253407172,3.250054858,4.2521541843143495e-14,,,,
W8,722,0.4006848344695,0.467626381,2,0.254147141,3.259873733,4.590772206825022e-14,,,,
W8,721,0.401983811,0.466567574,2,0.256777814,3.277574096,4.851674617611934e-14,,,,
W8,720,0.40296980003050004,0.46556167600000004,2,0.253278208,3.292195329,1.4988010832439613e-15,,,,
W8,719,0.4042197138552,0.46457786560000003,2,0.252435229,3.309125156,5.4289905904170155e-14,,,,
W8,718,0.4043018329798,0.463747368,2,0.254149873,3.314684898,5.995204332975845e-14,,,,
W8,717,0.4053584584588,0.462575035,2,0.256598983,3.331080759,6.517009154549669e-14,,,,
W8,716,0.40689595530699996,0.461319504,2,0.254472943,3.352356907,6.966649479522857e-14,,,,
W8,715,0.4069490844944,0.460778427,2,0.258511902,3.356019942,7.416289804496046e-14,,,,
W8,714,0.4078263573846,0.459010773,2,0.262475054,3.37418483,1.2212453270876722e-15,,,,
W8,713,0.4094405035325,0.457875557,2,0.256631447,3.395710564,1.3877787807814457e-15,,,,
W8,712,0.4100752076645,0.45677181240000003,2,0.261721823,3.40803345,1.4988010832439613e-15,,,,
W8,711,0.4112485991004,0.45612632750000004,2,0.258848598,3.422877983,1.609823385706477e-15,,,,
W8,710,0.4122860737356,0.454633179,2,0.263559245,3.441569739,1.609823385706477e-15,,,,
W8,709,0.4125789530295,0.453473129,2,0.262959704,3.451192749,1.7763568394002505e-15,,,,
W8,708,0.41329769227450003,0.45238430020000003,2,0.265915791,3.464506035,1.942890293094024e-15,,,,
W8,707,0.41463564650039997,0.45110485079999996,2,0.264732281,3.484829341,2.1649348980190553e-15,,,,
W8,706,0.41471220745799997,0.449754906,2,0.267803517,3.493866016,1.1657341758564144e-15,,,,
W8,705,0.4159124858316,0.448660278,2,0.270107211,3.511799719,2.4424906541753444e-15,,,,
W8,704,0.416408586,0.44751976,2,0.273986966,3.523606663,2.55351295663786e-15,,,,
W8,703,0.41716137160050004,0.44603672029999997,2,0.274973989,3.539986924,2.7200464103316335e-15,,,,
W8,702,0.418339909,0.44465091710000004,2,0.276102629,3.559938068,1.1102230246251565e-16,,,,
W8,701,0.4189674243024,0.44337032319999997,2,0.280440635,3.574023565,1.6653345369377348e-16,,,,
W8,700,0.41983232849159996,0.44230464939999997,2,0.279137218,3.589061793,1.1102230246251565e-16,,,,
W8,699,0.4209805017998,0.440844688,2,0.279112254,3.609407463,3.4416913763379853e-15,,,,
W8,698,0.4205323030465,0.439408951,2,0.291188323,3.614419741,3.164135620181696e-15,,,,
W8,697,0.42109526248999996,0.43806976319999996,2,0.295048014,3.628433507,3.3306690738754696e-15,,,,
W8,696,0.4218843042705,0.43663883210000004,2,0.294138505,3.64535364,3.3306690738754696e-15,,,,
W8,695,0.42271773600960005,0.435153542,2,0.297899095,3.6631484,3.497202527569243e-15,,,,
W8,694,0.4237729161384,0.433914681,2,0.299170691,3.681815102,3.774758283725532e-15,,,,
W8,693,0.424117031,0.432494507,2,0.302956053,3.694530242,3.885780586188048e-15,,,,
W8,692,0.4244307502595,0.431196823,2,0.307304394,3.70632836,8.326672684688674e-16,,,,
W8,691,0.425109408,0.429416313,2,0.311597594,3.724873787,4.440892098500626e-15,,,,
W8,690,0.425903073,0.42798851,2,0.314007444,3.742445924,4.884981308350689e-15,,,,
W8,689,0.42605531521650003,0.426761818,2,0.321373565,3.752289546,1.887379141862766e-15,,,,
W8,688,0.426960533,0.42536727910000005,2,0.320858944,3.770897643,8.326672684688674e-15,,,,
W8,687,0.42785009353200004,0.423436852,2,0.325000641,3.79310898,1.0935696792557792e-14,,,,
W8,686,0.42833486386319997,0.422381172,2,0.326976252,3.805245252,2.275957200481571e-14,,,,
W8,685,0.4288732242695,0.420898171,2,0.331650754,3.82097923,5.051514762044462e-15,,,,
W8,684,0.4289625352705,0.419402008,2,0.337495838,3.83242575,1.2823075934420558e-14,,,,
W8,683,0.429564901,0.41764739990000005,2,0.340909924,3.850912176,7.438494264988549e-15,,,,
W8,682,0.43050458338500003,0.416385193,2,0.342387419,3.869634511,6.2727600891321345e-15,,,,
W8,681,0.430716303,0.414685974,2,0.349941021,3.88380081,1.9984014443252818e-15,,,,
W8,680,0.4312593431225,0.413181648,2,0.353077013,3.900235741,1.2212453270876722e-15,,,,
W8,679,0.4319769816985,0.411802139,2,0.356751537,3.917698626,4.274358644806853e-15,,,,
W8,678,0.4323838346115,0.40992237090000005,2,0.361979753,3.935620695,1.0880185641326534e-14,,,,
W8,677,0.4326595487135,0.40861717220000005,2,0.36440282,3.948006242,1.687538997430238e-14,,,,
W8,676,0.4337821567848,0.406852226,2,0.368272986,3.972841731,2.2870594307278225e-14,,,,
W8,675,0.4343537443524,0.405435143,2,0.371969323,3.989425229,3.141931159689193e-14,,,,
W8,674,0.434441518,0.403796425,2,0.378409255,4.002588119,4.8183679268731794e-14,,,,
W8,673,0.43492344853250003,0.402191315,2,0.381591363,4.0198583,6.539213615042172e-14,,,,
W8,672,0.4356865494216,0.40071067810000005,2,0.385670312,4.039238043,8.1601392309949e-14,,,,
W8,671,0.4364445373932,0.39919593810000004,2,0.388835644,4.058857846,1.0197398481182063e-13,,,,
W8,670,0.4364536922655,0.39761795040000003,2,0.395561348,4.071148579,1.2212453270876722e-15,,,,
W8,669,0.43719815601240003,0.395650978,2,0.39929136,4.094391479,1.6653345369377348e-15,,,,
W8,668,0.437253886,0.394546013,2,0.403954363,4.103587347,1.887379141862766e-15,,,,
W8,667,0.438082281,0.39271007539999997,2,0.409366489,4.126904771,2.220446049250313e-15,,,,
W8,666,0.4389691502856,0.390859032,2,0.41214972,4.151259795,2.4980018054066022e-15,,,,
W8,665,0.4387437438685,0.389385414,2,0.419572386,4.160600948,1.1102230246251565e-16,,,,
W8,664,0.4389679166656,0.387924881,2,0.426136285,4.17489428,5.551115123125783e-17,,,,
W8,663,0.4401791574192,0.38624279,2,0.427394128,4.201682433,0,,,,
W8,662,0.4397213112124,0.38469562529999995,2,0.435521141,4.209256152,2.220446049250313e-16,,,,
W8,661,0.4408492902335,0.38312068940000005,2,0.436862218,4.234739838,5.551115123125783e-17,,,,
W8,660,0.4413416206115,0.381375198,2,0.442191459,4.254631526,2.220446049250313e-16,,,,
W8,659,0.4416179420615,0.37963794710000004,2,0.448239168,4.272165934,0,,,,
W8,658,0.4415077083312,0.37797554,2,0.457488762,4.284815914,4.6629367034256575e-15,,,,
W8,657,0.4428493267476,0.376596642,2,0.457620826,4.311650915,1.1102230246251565e-16,,,,
W8,656,0.4431308017515,0.374550819,2,0.465759327,4.33221998,5.551115123125783e-17,,,,
W8,655,0.4433926618715,0.373132591,2,0.469244737,4.347382488,4.496403249731884e-15,,,,
W8,654,0.443781941,0.37136379239999995,2,0.47515189,4.367140771,3.83026943495679e-15,,,,
W8,653,0.44433390062850003,0.369656982,2,0.479155146,4.388153013,3.0531133177191805e-15,,,,
W8,652,0.44443296641049995,0.36786285399999996,2,0.488487243,4.405119728,9.992007221626409e-16,,,,
W8,651,0.44502459,0.366358681,2,0.492368592,4.425160913,4.440892098500626e-16,,,,
W8,650,0.4449042212412,0.364638214,2,0.499404082,4.439155632,4.551914400963142e-15,,,,
W8,649,0.44582076037150004,0.36320755,2,0.500768596,4.462426672,5.828670879282072e-15,,,,
W8,648,0.44632053016550005,0.361427383,2,0.507222131,4.484530199,1.0047518372857667e-14,,,,
W8,647,0.447042387,0.35966114,2,0.512287552,4.509042206,5.551115123125783e-17,,,,
W8,646,0.4468330152635,0.35779796599999997,2,0.520716765,4.523585021,1.6986412276764895e-14,,,,
W8,645,0.4471814155085,0.35580448150000005,2,0.528255377,4.546317629,1.1102230246251565e-16,,,,
W8,644,0.446990399,0.354454689,2,0.536205254,4.556432355,3.930189507173054e-14,,,,
W8,643,0.4479162862905,0.352579384,2,0.53957387,4.584965076,5.601075159233915e-14,,,,
W8,642,0.4487757668832,0.350980797,2,0.541214084,4.610416026,6.494804694057166e-14,,,,
W8,641,0.4486197292015,0.34940189359999996,2,0.549998158,4.623516724,8.387734951043058e-14,,,,
W8,640,0.44899245948500005,0.347434158,2,0.558327212,4.64693514,1.0558220964185239e-13,,,,
W8,639,0.449686072,0.346027908,2,0.559314825,4.668908779,1.1868284133242923e-13,,,,
W8,638,0.4493554638734,0.34428543089999997,2,0.570411469,4.681940765,1.493805079633148e-13,,,,
W8,637,0.4501507200344,0.34265728,2,0.573588962,4.707615383,1.6869838859179254e-13,,,,
W8,636,0.45058548274300003,0.34091934199999996,2,0.581315231,4.730164246,7.993605777301127e-14,,,,
W8,635,0.4518281978244,0.33944347380000006,2,0.578954328,4.760186147,3.885780586188048e-16,,,,
W8,634,0.45181401232749996,0.33774394989999995,2,0.586061665,4.777019081,6.106226635438361e-16,,,,
W8,633,0.4528592133996,0.336071549,2,0.58817772,4.807029297,1.4432899320127035e-15,,,,
W8,632,0.4533004042488,0.334478264,2,0.595329917,4.828851928,5.551115123125783e-17,,,,
W8,631,0.4532586267585,0.333288345,2,0.598549795,4.840512423,1.6653345369377348e-16,,,,
W8,630,0.4539553894385,0.331767387,2,0.604979519,4.865083318,1.1102230246251565e-16,,,,
W8,629,0.45387109136459997,0.330214844,2,0.610758221,4.880204057,5.551115123125783e-17,,,,
W8,628,0.4552338693165,0.328931999,2,0.607351303,4.910964975,2.220446049250313e-16,,,,
W8,627,0.4567432086161,0.32757789610000004,2,0.60649638,4.944622816,1.6653345369377348e-16,,,,
W8,626,0.45650661789499997,0.326218643,2,0.614279272,4.95605039,2.7755575615628914e-16,,,,
W8,625,0.45771386988720003,0.325089798,2,0.611337466,4.983855186,2.220446049250313e-16,,,,
W8,624,0.4586991783252,0.323407135,2,0.613937022,5.01476667,1.1102230246251565e-16,,,,
W8,623,0.4596060282576,0.322397003,2,0.614215565,5.037474821,1.6653345369377348e-16,,,,
W8,622,0.4604483258364,0.320957642,2,0.615700065,5.064442435,5.551115123125783e-17,,,,
W8,621,0.4612221194316,0.319924927,2,0.615100833,5.08604308,1.6653345369377348e-16,,,,
W8,620,0.4624280232444,0.318889618,2,0.613178773,5.113464849,5.551115123125783e-17,,,,
W8,619,0.462503058,0.31777582169999996,2,0.61855639,5.126900806,1.1102230246251565e-16,,,,
W8,618,0.46431212676359995,0.316706448,2,0.611030569,5.163102443,2.220446049250313e-16,,,,
W8,617,0.46518200816399996,0.31553348540000004,2,0.611886773,5.188006325,5.551115123125783e-17,,,,
W8,616,0.4663667490684,0.31440881730000003,2,0.609911093,5.216886976,5.551115123125783e-17,,,,
W8,615,0.46696774433279997,0.31335020069999997,2,0.610609156,5.237101149,1.6653345369377348e-16,,,,
W8,614,0.46804588353550003,0.31255222320000003,2,0.607616523,5.260853123,2.220446049250313e-16,,,,
W8,613,0.46886835730149995,0.311512203,2,0.610407461,5.284236427,5.551115123125783e-17,,,,
W8,612,0.47060971356750003,0.310542374,2,0.604201512,5.319417018,8.881784197001252e-16,,,,
W8,611,0.471692339,0.309767456,2,0.601218111,5.343319106,1.1102230246251565e-15,,,,
W8,610,0.4731242024016,0.308599472,2,0.596964735,5.376882723,2.220446049250313e-15,,,,
W8,609,0.473852315,0.30777961730000003,2,0.599024824,5.397030998,4.440892098500626e-15,,,,
W8,608,0.4752831891655,0.306812668,2,0.593162202,5.428455202,5.834221994405198e-14,,,,
W8,607,0.476742075,0.306123409,2,0.58968133,5.457017569,1.3322676295501878e-15,,,,
W8,606,0.47816389158600003,0.304850369,2,0.586263813,5.492681433,3.885780586188048e-16,,,,
W8,605,0.4789001150585,0.304038582,2,0.586504638,5.513035801,5.551115123125783e-17,,,,
W8,604,0.47999860650099996,0.303224831,2,0.584606545,5.53855265,2.220446049250313e-16,,,,
W8,603,0.48193938484599996,0.302617512,2,0.575657603,5.573418652,1.191269305422793e-13,,,,
W8,602,0.4826648044215,0.301465664,2,0.578951938,5.598458069,1.0635936575909e-13,,,,
W8,601,0.484276388,0.300631161,2,0.572385815,5.631962008,5.551115123125783e-17,,,,
W8,600,0.4859969279088,0.299976444,2,0.566387886,5.664952963,1.6653345369377348e-16,,,,
W8,599,0.48663713330279995,0.29896194460000003,2,0.569447245,5.687377431,5.551115123125783e-17,,,,
W8,598,0.4877713607345,0.297955093,2,0.56690211,5.716785486,1.1102230246251565e-16,,,,
W8,597,0.4896751643748,0.297296944,2,0.559670512,5.753002558,2.7755575615628914e-16,,,,
W8,596,0.4907966825856,0.296091557,2,0.559802844,5.785219193,1.1102230246251565e-16,,,,
W8,595,0.4920959047575,0.295362949,2,0.556828538,5.813826002,2.220446049250313e-16,,,,
W8,594,0.49334728392000005,0.294599495,2,0.554597705,5.842352448,1.6653345369377348e-16,,,,
W8,593,0.49387127,0.293417568,2,0.556379333,5.866349757,5.551115123125783e-17,,,,
W8,592,0.4950430927675,0.292491741,2,0.556768732,5.896112295,1.6653345369377348e-16,,,,
W8,591,0.497455047,0.29134267810000003,2,0.550491941,5.947667858,2.7755575615628914e-16,,,,
W8,590,0.4976263183345,0.290620441,2,0.55223907,5.9601795,1.6653345369377348e-16,,,,
W8,589,0.4984665959084,0.28947607,2,0.553351421,5.989177632,3.3306690738754696e-16,,,,
W8,588,0.500547127,0.28871843340000003,2,0.548531993,6.031032702,1.1102230246251565e-16,,,,
W8,587,0.5017540213085,0.287718029,2,0.547546009,6.063323774,1.1102230246251565e-16,,,,
W8,586,0.5032777619688,0.287126904,2,0.54296265,6.094603001,5.551115123125783e-17,,,,
W8,585,0.504477192,0.286053925,2,0.542413916,6.128618317,3.885780586188048e-16,,,,
W8,584,0.5051438580034,0.285211201,2,0.544225459,6.151002417,2.7755575615628914e-16,,,,
W8,583,0.506911021,0.284494991,2,0.538520856,6.188508744,1.6653345369377348e-16,,,,
W8,582,0.5091202345236,0.283321343,2,0.533365609,6.239904508,1.1102230246251565e-16,,,,
W8,581,0.5105992419348,0.282773533,2,0.529818708,6.270849172,2.7755575615628914e-16,,,,
W8,580,0.5119835594045999,0.28191274639999997,2,0.525475601,6.305435446,2.7755575615628914e-16,,,,
W8,579,0.51305064,0.281043205,2,0.525249675,6.335268073,0,,,,
W8,578,0.5149081850269,0.280385494,2,0.518677416,6.374306443,3.3306690738754696e-16,,,,
W8,577,0.5150586314710001,0.279302959,2,0.52610694,6.393278508,3.3306690738754696e-16,,,,
W8,576,0.5175557858076,0.278642826,2,0.516222716,6.442979144,3.885780586188048e-16,,,,
W8,575,0.5188528761096,0.277642975,2,0.517773878,6.479198941,2.220446049250313e-16,,,,
W8,574,0.5203084790148,0.277135525,2,0.510572891,6.510633715,1.1102230246251565e-16,,,,
W8,573,0.5223184054729,0.27661148069999997,2,0.502533522,6.550617943,1.6653345369377348e-16,,,,
W8,572,0.523190452,0.276060543,2,0.501147717,6.573704121,1.1102230246251565e-16,,,,
W8,571,0.5250749885064,0.275249176,2,0.497386993,6.617012601,2.220446049250313e-16,,,,
W8,570,0.526465847,0.274430714,2,0.489422339,6.652951619,1.1102230246251565e-16,,,,
W8,569,0.5284316024292,0.27378246310000004,2,0.484848353,6.695389774,0,,,,
W8,568,0.529746025,0.273106937,2,0.483013145,6.728261546,3.3306690738754696e-16,,,,
W8,567,0.531557791,0.272512474,2,0.47890754,6.767709209,0,,,,
W8,566,0.5331960197165,0.272005234,2,0.471741328,6.803098059,3.3306690738754696e-16,,,,
W8,565,0.5350523454465,0.271210022,2,0.467336889,6.847452661,1.1102230246251565e-16,,,,
W8,564,0.5371749842460001,0.270690479,2,0.455994775,6.891515059,0,,,,
W8,563,0.5381622897855,0.270037804,2,0.456928584,6.919259799,2.220446049250313e-16,,,,
W8,562,0.5400124666145,0.269135628,2,0.452042961,6.966004794,2.220446049250313e-16,,,,
W8,561,0.5425557111012,0.26867547989999996,2,0.444916876,7.01685421,2.7755575615628914e-16,,,,
W8,560,0.543421033,0.267993774,2,0.441377626,7.043620482,2.7755575615628914e-16,,,,
W8,559,0.5452694814545,0.267624645,2,0.434175891,7.081594259,2.7755575615628914e-16,,,,
W8,558,0.5467796462865,0.26694294,2,0.42960256,7.119201253,1.1102230246251565e-16,,,,
W8,557,0.5486584801105,0.266153927,2,0.426264178,7.165948275,1.6653345369377348e-16,,,,
W8,556,0.5504828845490001,0.265220738,2,0.421813783,7.21439399,5.551115123125783e-17,,,,
W8,555,0.552914437,0.264620838,2,0.414296231,7.267516194,3.885780586188048e-16,,,,
W8,554,0.553847705,0.263970699,2,0.414368691,7.29596955,2.220446049250313e-16,,,,
W8,553,0.5559145740270001,0.263194733,2,0.406436291,7.346721675,2.7755575615628914e-16,,,,
W8,552,0.5577179022672,0.26233720779999997,2,0.402758702,7.394693361,7.216449660063518e-16,,,,
W8,551,0.559391138,0.261596794,2,0.397667157,7.438409124,4.996003610813204e-16,,,,
W8,550,0.561376078,0.260902138,2,0.391777237,7.487055946,6.661338147750939e-16,,,,
W8,549,0.56279171,0.26010959629999997,2,0.388387522,7.527870135,3.885780586188048e-16,,,,
W8,548,0.5638245401535,0.259133396,2,0.390170721,7.565435796,2.220446049250313e-16,,,,
W8,547,0.5660420159916,0.258386173,2,0.384051778,7.620303836,5.551115123125783e-17,,,,
W8,546,0.5669957838555,0.257671871,2,0.382567892,7.651841189,7.771561172376096e-16,,,,
W8,545,0.569057288,0.256674709,2,0.381259275,7.709334252,9.992007221626409e-16,,,,
W8,544,0.5700669368260001,0.255900211,2,0.380487354,7.743865104,1.1657341758564144e-15,,,,
W8,543,0.5721626905005001,0.254969273,2,0.376179637,7.801451221,2.220446049250313e-16,,,,
W8,542,0.5728457369502,0.254016991,2,0.378647567,7.833910384,1.4988010832439613e-15,,,,
W8,541,0.5749810171549999,0.253167419,2,0.374414256,7.891253004,6.106226635438361e-16,,,,
W8,540,0.5765842506055,0.252032719,2,0.372798896,7.945526275,1.887379141862766e-15,,,,
W8,539,0.578318547,0.251199551,2,0.373163493,7.995925573,2.0539125955565396e-15,,,,
W8,538,0.5799419733269999,0.250223312,2,0.37101067,8.047617533,1.2212453270876722e-15,,,,
W8,537,0.5829338178554999,0.249413052,2,0.357275592,8.12252403,2.6645352591003757e-15,,,,
W8,536,0.582453347,0.248522224,2,0.368371077,8.132729437,4.996003610813204e-16,,,,
W8,535,0.5844055509885,0.24767770769999997,2,0.361848582,8.188883873,1.6653345369377348e-16,,,,
W8,534,0.5873274202404,0.246448345,2,0.355145574,8.273319375,3.469446951953614e-15,,,,
W8,533,0.5875442678238,0.245659905,2,0.359075353,8.295424546,1.3877787807814457e-16,,,,
W8,532,0.5903463020172,0.244786167,2,0.350047209,8.370447775,4.801714581503802e-15,,,,
W8,531,0.5911997175479999,0.24368103,2,0.352911291,8.412854683,5.689893001203927e-15,,,,
W8,530,0.593767924,0.242823277,2,0.343726529,8.483926874,5.856426454897701e-15,,,,
W8,529,0.5943359655079999,0.241745625,2,0.350875505,8.520636049,2.220446049250313e-16,,,,
W8,528,0.5963901828036,0.24074768070000002,2,0.345003666,8.585761271,1.942890293094024e-16,,,,
W8,527,0.5964495589514001,0.239708767,2,0.352010353,8.611628303,8.326672684688674e-16,,,,
