Color,Wavelength,R,T,x,K,S,error
W8,800,0.32158944990480004,0.532539673,2,0.640486472,2.332098359,4.2021941482062175e-14
W8,799,0.3229420880232,0.531372604,2,0.639652346,2.34671961,4.207745263329343e-14
W8,798,0.322904988,0.530720825,2,0.642989654,2.348786372,3.7692071686024065e-14
W8,797,0.32515681872240004,0.529511795,2,0.638044335,2.370608248,7.91033905045424e-14
W8,796,0.3254496879325,0.5292007827999999,2,0.638146325,2.374016883,7.521760991835436e-14
W8,795,0.32710313754049997,0.528022232,2,0.635925877,2.391195651,3.980149543281186e-14
W8,794,0.3273442314324,0.527241516,2,0.638551589,2.39596038,4.624078897563777e-14
W8,793,0.32911660212800004,0.526929779,2,0.631564912,2.410938359,0
W8,792,0.329339367,0.526993027,2,0.630192305,2.412440651,1.1102230246251565e-16
W8,791,0.32995477060420003,0.525546722,2,0.634242078,2.422663613,1.7930101847696278e-14
W8,790,0.3315298501816,0.524790764,2,0.630353695,2.437850434,5.551115123125783e-17
W8,789,0.332866641,0.523923264,2,0.628148114,2.451637664,2.220446049250313e-16
W8,788,0.333740279,0.52279438,2,0.629424335,2.462824931,1.6653345369377348e-16
W8,787,0.33428209682279997,0.521937714,2,0.630973955,2.470386854,1.1102230246251565e-16
W8,786,0.3356873203435,0.521222725,2,0.627702288,2.484248122,2.220446049250313e-16
W8,785,0.33696747,0.521482391,2,0.620324113,2.493364676,0
W8,784,0.337697141,0.519880295,2,0.624572158,2.50539631,2.7755575615628914e-16
W8,783,0.3382821605455,0.519602585,2,0.623115166,2.511128881,1.6653345369377348e-16
W8,782,0.340052137,0.517873306,2,0.623003261,2.532037654,1.6653345369377348e-16
W8,781,0.34019272571549997,0.516962242,2,0.626735576,2.536780059,1.1102230246251565e-16
W8,780,0.34173242055549996,0.516749458,2,0.620395597,2.549932402,2.220446049250313e-16
W8,779,0.342637639,0.514801369,2,0.625480615,2.56501512,1.6653345369377348e-16
W8,778,0.34272277470150003,0.514524765,2,0.626411292,2.56681581,2.7755575615628914e-16
W8,777,0.344450884,0.513019981,2,0.62541538,2.586829542,4.996003610813204e-16
W8,776,0.34515854037300003,0.513765564,2,0.618424153,2.589487113,2.220446049250313e-16
W8,775,0.34650944082850005,0.511815186,2,0.621386406,2.608390207,3.3306690738754696e-16
W8,774,0.3467898341026,0.511249847,2,0.62277818,2.612992703,3.3306690738754696e-16
W8,773,0.347728041,0.510222969,2,0.623253387,2.624853942,3.885780586188048e-16
W8,772,0.3490181203985,0.50944149,2,0.620856614,2.638593149,3.885780586188048e-16
W8,771,0.3497827108355,0.507832413,2,0.624981548,2.651578374,3.885780586188048e-16
W8,770,0.35088966654399995,0.507260819,2,0.622444806,2.663031586,4.996003610813204e-16
W8,769,0.3516436530964,0.5067174529999999,2,0.621463003,2.671503815,4.440892098500626e-16
W8,768,0.35297206,0.505734139,2,0.619859335,2.686585572,6.661338147750939e-16
W8,767,0.35349559005099995,0.504421997,2,0.623703174,2.696522644,1.1102230246251565e-16
W8,766,0.355298208,0.503802185,2,0.618068189,2.71404546,5.551115123125783e-17
