Color,Wavelength,R,T,x,K,S,error
Y,800,0.01801774819548,0.9099287415,1.0,0.07479964787694722,0.019773075192120924,3.469446951953614e-18
Y,799,0.01800389924376,0.9107449341,1.0,0.07393492379623089,0.019740721494912888,3.8163916471489756e-17
Y,798,0.018046975282,0.9093151855000001,1.0,0.07542990205319104,0.019818095809626023,2.42861286636753e-17
Y,797,0.01808564416092,0.908533783,1.0,0.07623159172721083,0.019877103539113053,1.1102230246251565e-16
Y,796,0.0181228853842,0.9108863067999999,1.0,0.07365460930280271,0.019868213451193842,6.938893903907228e-18
Y,795,0.018128171978400002,0.9100242615,1.0,0.07457773870676612,0.019892248522886385,3.469446951953614e-18
Y,794,0.01822516191864,0.9075910949999999,1.0,0.07709935493437103,0.020050597200954222,0.0
Y,793,0.01817253452105,0.911566925,1.0,0.07286850088636371,0.019908235098947756,0.0
Y,792,0.0182367244486,0.9112424469,1.0,0.0731487028819334,0.0199854590213094,3.469446951953614e-18
Y,791,0.01819581822716,0.9105908202999999,1.0,0.0738943938591375,0.01995445164887715,3.122502256758253e-17
Y,790,0.0182731355828,0.9101391602,1.0,0.07429780572869092,0.02004888602941503,0.0
Y,789,0.01846837136375,0.9101902771,1.0,0.07403255571080619,0.0202620186627617,3.469446951953614e-18
Y,788,0.01833147982095,0.9103996277,1.0,0.07395435321070025,0.02010733341742358,0.0
Y,787,0.01833817695892,0.9112480927,1.0,0.07303352814223837,0.020096532845002547,1.491862189340054e-16
Y,786,0.01826811306685,0.9101106262,1.0,0.07433396380882377,0.020043983488316687,1.1796119636642288e-16
Y,785,0.01849057932595,0.9087088013,1.0,0.0756060121320546,0.020318414967098897,1.1102230246251565e-16
Y,784,0.01835555356735,0.9108844757,1.0,0.07340627164985021,0.02012335917683342,3.469446951953614e-18
Y,783,0.018420616488,0.9110777283,1.0,0.07312824770700467,0.020190546264356585,3.8163916471489756e-17
Y,782,0.01847645440188,0.9101959229000001,1.0,0.07401777289910906,0.020270766028383343,3.8163916471489756e-17
Y,781,0.01845962364215,0.9106490326,1.0,0.07354783567911205,0.0202425359488013,0.0
Y,780,0.018449020802750002,0.9099197388,1.0,0.07434490546613765,0.02024661552202624,1.1449174941446927e-16
Y,779,0.018476750208999998,0.9091307831000001,1.0,0.0751656617621471,0.02029409215568085,1.1102230246251565e-16
Y,778,0.0185635359597,0.9087931824000001,1.0,0.07543632263426273,0.020396759876010636,0.0
Y,777,0.01865253977435,0.9097555542000001,1.0,0.07430272462767583,0.020473570949137713,1.1449174941446927e-16
Y,776,0.0185101600006,0.9100106812,1.0,0.07418108055144758,0.020311753876071984,6.938893903907228e-18
Y,775,0.01853323027955,0.9096382140999999,1.0,0.07455766592585686,0.02034513841020869,6.938893903907228e-18
Y,774,0.01858731658798,0.9105594634999999,1.0,0.07350691132866016,0.020384522201708027,3.469446951953614e-17
Y,773,0.0185948208208,0.9102453613,1.0,0.07383712273681925,0.020399570403427134,2.7755575615628914e-17
Y,772,0.018782816258649998,0.9084122467,1.0,0.07561098349539445,0.02064610434180798,1.1102230246251565e-16
Y,771,0.0186985249431,0.9091269684,1.0,0.07493082800572341,0.02053779470312202,1.1796119636642288e-16
Y,770,0.01869972768915,0.9096713257000001,1.0,0.07434269197183567,0.020527213087614068,6.938893903907228e-18
Y,769,0.01880098858736,0.9105762482,1.0,0.07325899723314712,0.020618515984174354,3.8163916471489756e-17
Y,768,0.01869168096495,0.9090914153999999,1.0,0.07497654118712171,0.020531054024612107,1.1449174941446927e-16
Y,767,0.018896562798,0.9092044067,1.0,0.07463401527375033,0.020753628914130493,2.42861286636753e-17
Y,766,0.01890819638775,0.9085787201,1.0,0.07529622591462062,0.020780253757261797,0.0
Y,765,0.01890004667808,0.9093470764,1.0,0.07447647108266585,0.020754301956554002,0.0
Y,764,0.01893426774408,0.9089517212,1.0,0.07486584077550358,0.02080064246542378,0.0
Y,763,0.01892494339195,0.9088649750000001,1.0,0.0749694291771748,0.02079231897167147,3.469446951953614e-18
Y,762,0.01899804592255,0.9099345397999999,1.0,0.07373800220791617,0.020848885198903978,2.0816681711721685e-17
Y,761,0.019007698666299998,0.9089149475,1.0,0.07482639093552383,0.02088214022764506,6.938893903907228e-18
