Color,Wavelength,R,T,x,K,S,error
Y,800,0.02159518192176,0.9103845214999999,2.0,0.03523192142356135,0.011844074957891254,1.1449174941446927e-16
Y,799,0.02155468703184,0.9107016754,2.0,0.03508341405672109,0.01181787257673295,1.3877787807814457e-16
Y,798,0.02146542674395,0.9106450653,2.0,0.03516165886403118,0.011769634100308292,1.214306433183765e-16
Y,797,0.021574615089479998,0.9086717987,2.0,0.0361632178694777,0.011854392770414073,6.938893903907228e-18
Y,796,0.0217512656774,0.9101779175,2.0,0.03525911412503602,0.011932318639082668,1.1102230246251565e-16
Y,795,0.0217928159023,0.9120471191,2.0,0.03423443711020365,0.011931371784795272,1.1449174941446927e-16
Y,794,0.021750137271119997,0.9097428130999999,2.0,0.035493353136017584,0.011937227162939525,1.1449174941446927e-16
Y,793,0.021750326268050003,0.9103610229,2.0,0.03516133059742717,0.011929478264657215,6.938893903907228e-18
Y,792,0.021738049788899996,0.9115419006000001,2.0,0.0345345014384164,0.011907776516412241,1.0061396160665481e-16
Y,791,0.021901603014900003,0.9100263977,2.0,0.03525981888141818,0.01201674302684505,1.1449174941446927e-16
Y,790,0.02189215666512,0.9091236115,2.0,0.035749775679828934,0.012023111234207077,1.1796119636642288e-16
Y,789,0.021872735128150002,0.9117060089,2.0,0.034374418769204884,0.011979477557733455,1.1449174941446927e-16
Y,788,0.0218490622971,0.9097386932,2.0,0.03544248370446409,0.011991582692104171,6.938893903907228e-18
Y,787,0.021762474425299997,0.9107914734000001,2.0,0.0349238382805589,0.011930676742675773,1.1449174941446927e-16
Y,786,0.021906523298349998,0.9100308228,2.0,0.0352548042581743,0.012019386495399416,0.0
Y,785,0.02195399468865,0.9104716492,2.0,0.03499276207015938,0.012039787146134288,2.2898349882893854e-16
Y,784,0.02196037608135,0.9104581451,2.0,0.03499658668181833,0.012043460443074616,3.469446951953614e-18
Y,783,0.0220103098877,0.9114794159,2.0,0.034422184891354075,0.012057743806390875,7.979727989493313e-17
Y,782,0.02204242332156,0.9111930847,2.0,0.03455846120208122,0.012079016852965524,6.938893903907228e-18
Y,781,0.022094266714100003,0.9104673767,2.0,0.0349198612322925,0.01211678247383359,6.938893903907228e-18
Y,780,0.022168826999300003,0.9108880615,2.0,0.0346542814232715,0.012152239224605805,1.1796119636642288e-16
Y,779,0.022027589465649998,0.9092371368000001,2.0,0.035616076313456715,0.012096041026231998,3.469446951953614e-18
Y,778,0.02216728028175,0.9101231384,2.0,0.0350654203329654,0.012161285750181038,1.1449174941446927e-16
Y,777,0.022194860229049998,0.9094382477,2.0,0.03541829105857061,0.012185301033816704,0.0
Y,776,0.02230069171255,0.9105244446,2.0,0.034778618614381245,0.012229266448264282,1.1449174941446927e-16
Y,775,0.0220906418893,0.9096605682000001,2.0,0.0353548240488717,0.012125202669097376,0.0
Y,774,0.02206056275934,0.9092507935,2.0,0.03559104186093404,0.012113974718972924,2.255140518769849e-16
Y,773,0.02224516461244,0.9090739441,2.0,0.0355869649226445,0.012217663383668255,1.1449174941446927e-16
Y,772,0.022158804175250003,0.9091436768,2.0,0.03559585632040998,0.01216931936597108,3.469446951953614e-18
Y,771,0.02243901135895,0.9095504761,2.0,0.03522706150712863,0.012317895938781753,2.1510571102112408e-16
Y,770,0.022334425316950002,0.9101295471,2.0,0.03497237161909426,0.01225291697481399,1.0061396160665481e-16
Y,769,0.022316716052399998,0.9099525452,2.0,0.03507684302626881,0.012245506635781925,1.1449174941446927e-16
Y,768,0.022346201241450002,0.9096084595,2.0,0.03524571391274539,0.012266181155030595,3.469446951953614e-18
Y,767,0.0223891107657,0.9097432709000001,2.0,0.03515033756166283,0.012287975281963601,1.1102230246251565e-16
Y,766,0.02233646309685,0.9092281341999999,2.0,0.035455150170463336,0.012265801591074606,1.1449174941446927e-16
Y,765,0.022538166933360002,0.9101438904,2.0,0.03485546883698221,0.012364523813277484,1.9081958235744878e-16
Y,764,0.02245235424264,0.9091526030999999,2.0,0.03543352968630709,0.012330445452571934,1.214306433183765e-16
Y,763,0.022506367078,0.9087449646,2.0,0.035623500093497004,0.012365482399539983,0.0
Y,762,0.02254720324115,0.9091719055,2.0,0.03537227502393029,0.012382289980995578,2.2898349882893854e-16
Y,761,0.022465224882700002,0.9089612579,2.0,0.03552939159982732,0.012340029984286916,1.1449174941446927e-16
Y,760,0.0225841346661,0.909287796,2.0,0.03529023873400591,0.012401044695867405,1.1449174941446927e-16
Y,759,0.02269280811835,0.9088861084,2.0,0.035447627972336034,0.012466061656664874,1.1102230246251565e-16
Y,758,0.02258379305275,0.9088340759000001,2.0,0.035534074581711164,0.012406851868319559,3.469446951953614e-18
Y,757,0.0227013506411,0.9083423614999999,2.0,0.03573514734671369,0.012477982739421396,1.1449174941446927e-16
Y,756,0.02269296705965,0.9079602051000001,2.0,0.03594504926728414,0.012478455694341131,1.0408340855860843e-17
Y,755,0.02278958544996,0.908299942,2.0,0.03571057077413876,0.012527057255893133,1.1449174941446927e-16
Y,754,0.0227690100043,0.9083441162,2.0,0.03569788060492866,0.012515155907011992,1.3530843112619095e-16
Y,753,0.022813314429,0.9076688385,2.0,0.03603705474701113,0.012548542645636164,2.2898349882893854e-16
Y,752,0.02286393553572,0.9082702637,2.0,0.0356866031004015,0.01256833161955608,1.4224732503009818e-16
Y,751,0.02288162616395,0.9075978088,2.0,0.036038549515333355,0.012587078245067926,1.1102230246251565e-16
Y,750,0.022906390241349998,0.9081171417,2.0,0.03574608993133864,0.012593728723590932,1.1449174941446927e-16
Y,749,0.02285821008674,0.9072891235,2.0,0.03621713913751208,0.012578334748221698,1.1102230246251565e-16
Y,748,0.0229426123507,0.9068830872,2.0,0.03639021436387985,0.012630257593901663,1.1449174941446927e-16
Y,747,0.0230513832138,0.907833252,2.0,0.03582080540466573,0.012677296063218683,3.469446951953614e-18
Y,746,0.02297861858485,0.9075601195999999,2.0,0.036006710801141165,0.01264095166079967,2.255140518769849e-16
Y,745,0.023049945478249997,0.9074091339,2.0,0.03604957693703255,0.01268223934109362,2.706168622523819e-16
Y,744,0.023108431289700002,0.9071307373,2.0,0.036167867747548925,0.012718200811708508,1.1102230246251565e-16
Y,743,0.02314582774848,0.9072968292,2.0,0.03605845437149687,0.012736530191342377,1.1102230246251565e-16
Y,742,0.0231231322157,0.9078820801,2.0,0.035756038686019655,0.012716100751988318,1.1796119636642288e-16
Y,741,0.02314061817655,0.9081384277,2.0,0.035608913104168444,0.01272224162256481,2.220446049250313e-16
Y,740,0.023135465618799998,0.9065392303,2.0,0.03647156910069184,0.012741120860724542,6.938893903907228e-18
Y,739,0.02321053119485,0.9064907074,2.0,0.036457322437038246,0.012783130911646174,3.157196726277789e-16
Y,738,0.023285055898849997,0.9071359253,2.0,0.03607017811224555,0.012815358134753953,0.0
Y,737,0.02327810990335,0.9075111389,2.0,0.03587218415127078,0.012806408622318773,6.938893903907228e-18
Y,736,0.023390656440719998,0.9078984833,2.0,0.0356036094910977,0.012863024690420754,1.0408340855860843e-17
Y,735,0.023337978520610002,0.907117691,2.0,0.03605155123266958,0.012844740714983573,1.1449174941446927e-16
Y,734,0.02338801931475,0.9081012726000001,2.0,0.035496092196110926,0.01285879410778181,1.1796119636642288e-16
Y,733,0.023333887792739996,0.9075948334,2.0,0.03579724756945333,0.012835955196845581,1.214306433183765e-16
Y,732,0.023464202226049998,0.9070689392,2.0,0.036009956755103996,0.012914897234977218,1.1796119636642288e-16
Y,731,0.023431388796960002,0.9073692322,2.0,0.03586614556107445,0.012892702623319192,1.1796119636642288e-16
Y,730,0.02353283422165,0.9072973633,2.0,0.0358502970282284,0.012949525013559388,1.1796119636642288e-16
Y,729,0.023642430978000003,0.9077776337,2.0,0.03553339721047368,0.013003184391090212,2.220446049250313e-16
Y,728,0.023642620955039998,0.9073253631999999,2.0,0.03577629518734716,0.013009561720548868,1.1449174941446927e-16
Y,727,0.0235925512461,0.9073233795,2.0,0.03580424641013114,0.012982032257256127,3.469446951953614e-18
Y,726,0.023618197798949997,0.9071969604,2.0,0.03585842201659564,0.012997899895367662,6.938893903907228e-18
Y,725,0.02356819994445,0.9074842072,2.0,0.03573089086130888,0.012966405801738601,2.220446049250313e-16
Y,724,0.02365859272935,0.9068741608,2.0,0.03601026017814826,0.013024619436103247,2.671474153004283e-16
Y,723,0.023706066487749998,0.9073408508,2.0,0.03573390718001725,0.013044264902498593,0.0
Y,722,0.0237475099591,0.9063144684,2.0,0.036263492868168955,0.013081391146580615,1.1102230246251565e-16
Y,721,0.023742604111599997,0.906989975,2.0,0.03590287139761226,0.01306926436684229,1.3877787807814457e-17
Y,720,0.023765399203399998,0.9072602081,2.0,0.03574538730452564,0.013078044285339615,1.1449174941446927e-16
Y,719,0.023920984439400002,0.9070924377,2.0,0.035752010366634106,0.013166036287430108,1.1796119636642288e-16
Y,718,0.0238433979189,0.907353363,2.0,0.03565345708127287,0.01311967215977628,1.1796119636642288e-16
Y,717,0.02391142535054,0.9075276947,2.0,0.035523289258751395,0.013154665736960834,1.214306433183765e-16
Y,716,0.02392027251555,0.9063008118,2.0,0.03617799421785985,0.0131767699256587,1.1796119636642288e-16
Y,715,0.02388739475444,0.9068760681000001,2.0,0.03588634001859109,0.013150579883897884,3.469446951953614e-18
Y,714,0.023989458406059996,0.9067591858,2.0,0.03589435526842703,0.013208427258594418,1.1796119636642288e-16
Y,713,0.02402240088765,0.9062635803000001,2.0,0.036143140231979634,0.013233566337417329,3.469446951953614e-18
Y,712,0.024069502207600003,0.9062660217,2.0,0.03611651881517831,0.013259484680219605,1.1102230246251565e-16
Y,711,0.02413197438024,0.9068065643,2.0,0.03579235602978507,0.013286240614366066,1.1102230246251565e-16
Y,710,0.024145182176879998,0.9068647003,2.0,0.03575402048857353,0.013292689403405134,1.1449174941446927e-16
Y,709,0.0241086422042,0.9062692260999999,2.0,0.03609376589761052,0.013281005418729317,1.1449174941446927e-16
Y,708,0.024129361566799998,0.9058725739000001,2.0,0.036295983632270455,0.013298051400114532,6.938893903907228e-18
Y,707,0.02419817247444,0.9061012268,2.0,0.03613601020999747,0.01333272727360306,1.1449174941446927e-16
Y,706,0.0242203308149,0.9061340332000001,2.0,0.036106460885826364,0.013344471386976316,1.0408340855860843e-17
Y,705,0.02425232396856,0.9056877136,2.0,0.03632934651907057,0.013368470860570735,1.1102230246251565e-16
Y,704,0.02425824197655,0.9061443329,2.0,0.036080552969526794,0.013365216543138228,3.365363543395006e-16
Y,703,0.02429252119915,0.9059149933,2.0,0.036185476650913,0.013387384210645704,2.1163626406917047e-16
Y,702,0.0243833167332,0.906258316,2.0,0.03595207485369521,0.013432507795526063,6.938893903907228e-18
Y,701,0.024420187916159998,0.9065428162000001,2.0,0.035779346369221386,0.013448740029842202,0.0
Y,700,0.02447348453352,0.9056209564,2.0,0.036246389427016634,0.013491368350088817,1.1102230246251565e-16
Y,699,0.0245408449001,0.9054294586,2.0,0.03631320632823701,0.013531276920797293,6.938893903907228e-18
Y,698,0.024376236061449997,0.9062641907,2.0,0.035952719761380314,0.013428522075010493,0.0
Y,697,0.024449122831699997,0.9063504028,2.0,0.03586722730209532,0.013467443863923559,1.1102230246251565e-16
Y,696,0.0245198339938,0.9058925629,2.0,0.03607539947357074,0.013513005321422359,1.1449174941446927e-16
Y,695,0.02459339481612,0.9058782196,2.0,0.036043591836712296,0.013553761612845033,2.2898349882893854e-16
Y,694,0.02457674852868,0.9061049652,2.0,0.03593062103519354,0.013541307248033718,1.1449174941446927e-16
Y,693,0.024595581862799996,0.9055961609000001,2.0,0.03619410968126238,0.013559050235746653,6.938893903907228e-18
Y,692,0.02464429724035,0.9058674621999999,2.0,0.03602203025103688,0.013581976889017784,6.938893903907228e-18
Y,691,0.024621741744549997,0.9054416656,2.0,0.03626315757726427,0.0135757145712324,2.255140518769849e-16
Y,690,0.024788507227049998,0.9050379944,2.0,0.03639070400046245,0.0136735795078221,3.469446951953614e-18
Y,689,0.02470071919295,0.9050858307,2.0,0.0364121587298304,0.013624447629094387,1.1449174941446927e-16
Y,688,0.024775500099499997,0.9055870056,2.0,0.03610235531490007,0.013658391361996269,3.469446951953614e-18
Y,687,0.024806797397640003,0.9051463318,2.0,0.03632257892096508,0.013682087241998537,2.255140518769849e-16
Y,686,0.02485889008008,0.9051229858000001,2.0,0.036307138488974204,0.013711167206943764,3.3306690738754696e-16
Y,685,0.024879170443,0.9051174927,2.0,0.03629919287648989,0.013722436109035164,1.1796119636642288e-16
Y,684,0.0248787956265,0.9051599120999999,2.0,0.03627657294770711,0.013721607528892791,2.255140518769849e-16
Y,683,0.024985286596,0.9048995972,2.0,0.03635938753057278,0.013784187691280406,1.1102230246251565e-16
Y,682,0.0249879411565,0.9052800751,2.0,0.036153278331018404,0.01378005038247173,3.469446951953614e-18
Y,681,0.02501345012075,0.9051076508,2.0,0.03623231563507345,0.013796661881753622,3.469446951953614e-18
Y,680,0.0250546587323,0.90373909,2.0,0.036946882558551636,0.013839625190774847,3.469446951953614e-18
Y,679,0.0250820560175,0.9048062897,2.0,0.03635757309091673,0.01383896656718923,2.2898349882893854e-16
Y,678,0.025074073351399998,0.9047441101,2.0,0.036395322951511946,0.013835480337766147,3.469446951953614e-18
Y,677,0.02514671447065,0.9040563965,2.0,0.036726449699227934,0.013885774728104552,1.1449174941446927e-16
Y,676,0.025207317582840002,0.9043209076,2.0,0.03655144539543062,0.013915311781635215,0.0
Y,675,0.025223139869520003,0.9041370392,2.0,0.03664191848643202,0.013926785264369697,0.0
Y,674,0.0252445941231,0.9045332336,2.0,0.03641712487159243,0.013932732378410806,2.220446049250313e-16
Y,673,0.025301649462850004,0.9044171142999999,2.0,0.03644893923152077,0.013965962290306111,2.2898349882893854e-16
Y,672,0.02529906689172,0.9041098022,2.0,0.03661574373999304,0.01396912444637155,3.469446951953614e-18
Y,671,0.02534385990012,0.9037950134,2.0,0.03676114206089627,0.013998573769823608,2.255140518769849e-16
Y,670,0.0253448531489,0.9038072205000001,2.0,0.03675403402537586,0.013998939788881512,3.469446951953614e-18
Y,669,0.025392001161720003,0.9038182831,2.0,0.0367227121973033,0.014024821727434729,6.938893903907228e-18
Y,668,0.025409120179000003,0.9041342926,2.0,0.03654337210730979,0.014029538520885381,1.1449174941446927e-16
Y,667,0.02549965766675,0.9036692047,2.0,0.036745072341997594,0.014086543501478546,1.1449174941446927e-16
Y,666,0.02553700197912,0.9038182068,2.0,0.03664475385356948,0.014104930674384761,1.1102230246251565e-16
Y,665,0.0255509768713,0.9039636230000001,2.0,0.036558953481252175,0.014110457238946826,1.1796119636642288e-16
Y,664,0.02552158863506,0.9040351868000001,2.0,0.03653623610361296,0.014093145449849406,1.1449174941446927e-16
Y,663,0.02564095461864,0.9035939025999999,2.0,0.036709607426577584,0.014165758439599881,2.220446049250313e-16
Y,662,0.02563859438294,0.9036196136,2.0,0.03669703283661943,0.014164064708857088,1.1102230246251565e-16
Y,661,0.02568849469695,0.9036760712,2.0,0.03663979305421337,0.014190782061491911,1.1449174941446927e-16
Y,660,0.0256942237179,0.9035402679000001,2.0,0.036709831465556404,0.014196009224778903,2.255140518769849e-16
