Color,Wavelength,R,T,x,K,S
k,800.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,799.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,798.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,797.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,796.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,795.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,794.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,793.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,792.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,791.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,790.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,789.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,788.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,787.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,786.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,785.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,784.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,783.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,782.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,781.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,780.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,779.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,778.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,777.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,776.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,775.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,774.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,773.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,772.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,771.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,770.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,769.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,768.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,767.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,766.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,765.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,764.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,763.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,762.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,761.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,760.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,759.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,758.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,757.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,756.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,755.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,754.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,753.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,752.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,751.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,750.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,749.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,748.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,747.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,746.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,745.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,744.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,743.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,742.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
