Color,Wavelength,R,T,x,K,S
w,800.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,799.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,798.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,797.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,796.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,795.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,794.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,793.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,792.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,791.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,790.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,789.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,788.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,787.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,786.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,785.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,784.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,783.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,782.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,781.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,780.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,779.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,778.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,777.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,776.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,775.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,774.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,773.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,772.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,771.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,770.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,769.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,768.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,767.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,766.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,765.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,764.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,763.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,762.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,761.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,760.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,759.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,758.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,757.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,756.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,755.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,754.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,753.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,752.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,751.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,750.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,749.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,748.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,747.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,746.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,745.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,744.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,743.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,742.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,741.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,740.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,739.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,738.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,737.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,736.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,735.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,734.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,733.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,732.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,731.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,730.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,729.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,728.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,727.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,726.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,725.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,724.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,723.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,722.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,721.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,720.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,719.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,718.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,717.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,716.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,715.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,714.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,713.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,712.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,711.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,710.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,709.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,708.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,707.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,706.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,705.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,704.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,703.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,702.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,701.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,700.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,699.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,698.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,697.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,696.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,695.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,694.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,693.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,692.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,691.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,690.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,689.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,688.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,687.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,686.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,685.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,684.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,683.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,682.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,681.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,680.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,679.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,678.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,677.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,676.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,675.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,674.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,673.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,672.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,671.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,670.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,669.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,668.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,667.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,666.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,665.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
