Color,Wavelength,R,T,x,K,S
y,800.0,0.08318632126,0.7180532074,3,0.07417775652749327,0.03797897096724337
y,799.0,0.08285573959,0.7202992249000001,3,0.07337304103514422,0.03772231413269658
y,798.0,0.08319986343,0.7194519805999999,3,0.0735852642655799,0.03791928753441967
y,797.0,0.08317974091,0.7183836365,3,0.07404175855063251,0.03796037938396369
y,796.0,0.08337176322999999,0.7199053192,3,0.07332399081214244,0.03797652347133548
y,795.0,0.08303110123,0.7208419037,3,0.07307312190849598,0.03777698990422023
y,794.0,0.08312445641,0.7180114745999999,3,0.07422100668076574,0.03795260476465615
y,793.0,0.08283177375999999,0.718901062,3,0.07396919106071939,0.037776814969912226
y,792.0,0.08307315826,0.7165814209,3,0.0748435675631175,0.037996574203142376
y,791.0,0.08299521446,0.7193341064000001,3,0.07371964254577267,0.03783125606068468
y,790.0,0.08289233208,0.7183760071,3,0.07416443209390708,0.037829164881601804
y,789.0,0.08310680389,0.719366684,3,0.07365965209636863,0.03788074943432366
y,788.0,0.08316072463999999,0.7189033508,3,0.07383157204975986,0.037927199939052234
y,787.0,0.08324669838,0.7193463135,3,0.07361011791231899,0.037945673212975095
y,786.0,0.08299092292999999,0.7193126678,3,0.07373041463414845,0.037830299811699844
y,785.0,0.08320162773,0.7194332885999999,3,0.07359236713609985,0.03792097332158396
y,784.0,0.08308639526,0.719944458,3,0.0734259723807812,0.037844292808597094
y,783.0,0.08335971832,0.7193057251,3,0.07358021906437272,0.03799926535790832
y,782.0,0.08324901581000001,0.7196660614,3,0.07347514508845172,0.03793168712508758
y,781.0,0.08317111015,0.7188921356,3,0.07383196297792495,0.03793247922951162
y,780.0,0.08316706656999999,0.7191500854,3,0.07372545255038378,0.03791849096162144
y,779.0,0.08301065445000001,0.7200588226000001,3,0.07340948256064898,0.037804326384929136
y,778.0,0.08306505203,0.7195583344,3,0.07359664039813411,0.037852660231395115
y,777.0,0.08308712006,0.7191075897,3,0.07377647349908426,0.03788392411667458
y,776.0,0.08349537849000001,0.7200544739,3,0.07321026740084878,0.03802597645398846
y,775.0,0.08306757927,0.7184705352999999,3,0.07405189712399068,0.037904943010035226
y,774.0,0.08286377907,0.7191572571,3,0.07384840092529721,0.03777944563220488
y,773.0,0.08299007416,0.7183390045,3,0.07413933470115121,0.03787565009721482
y,772.0,0.08305364609,0.7193644714,3,0.07368264920308273,0.037856547873794937
y,771.0,0.08320825577,0.7180952454,3,0.07415098397940864,0.03798703352982019
y,770.0,0.08311900139,0.7196273804000001,3,0.07354530850034621,0.037874078512383384
y,769.0,0.08309488296999999,0.7192256165,3,0.0737237517368866,0.03788192731422731
y,768.0,0.0829937458,0.7189490508999999,3,0.0738817610988338,0.03784866139976839
y,767.0,0.08295084953,0.718359375,3,0.07414708800044394,0.03785673516940988
y,766.0,0.08280725479,0.7185018920999999,3,0.07414694236572192,0.03778431255493214
y,765.0,0.08297281265,0.7183701324,3,0.07413344053170148,0.03786628415550877
y,764.0,0.08314685822,0.718503418,3,0.07400514677134767,0.037939683730520424
y,763.0,0.08316536902999999,0.719262085,3,0.0736791936032354,0.03791244640580561
y,762.0,0.08311646461000001,0.7181692504999999,3,0.07415806992967913,0.037941509891683614
y,761.0,0.08313564301,0.7191242217999999,3,0.07374934749332461,0.03790533540592965
y,760.0,0.08309652328,0.7188515472,3,0.07387997333962966,0.037900264294436464
y,759.0,0.08297671318000001,0.7182057190000001,3,0.07420086000792551,0.037875800787387705
y,758.0,0.08314956665,0.7180565643,3,0.07419162872367346,0.03796197965167121
y,757.0,0.08319781303,0.7179542542,3,0.07421453590461206,0.03798890227699015
y,756.0,0.08301219939999999,0.7186135101000001,3,0.07401489909036177,0.03787287123108095
y,755.0,0.08320536613,0.7192508698000001,3,0.07366729018387276,0.03793126469888754
y,754.0,0.08302214622,0.7182048797999999,3,0.07418232205193522,0.037896643578590815
y,753.0,0.08294872284,0.7171670532000001,3,0.07464901885463453,0.037911870073427986
y,752.0,0.08320211411,0.7171566772,3,0.07454790194413775,0.03802853686814021
y,751.0,0.08309746742,0.7178974915,3,0.07428010782225893,0.03794561497787102
y,750.0,0.08325624466,0.7179589081000001,3,0.0741882851753039,0.038015446832966905
y,749.0,0.08296192169,0.7178629302999999,3,0.07435100584139065,0.03788515223963775
y,748.0,0.08317281723,0.7175847625999999,3,0.07438015762008787,0.03799488776890425
y,747.0,0.08305905342000001,0.7173719787999999,3,0.07451692767717745,0.037952788235255004
y,746.0,0.08295615196,0.7175836182,3,0.0744707857241858,0.03789565544256749
y,745.0,0.08297306061000001,0.7177446747,3,0.07439606254417251,0.037895820845583586
y,744.0,0.08294584274,0.7184430695,3,0.0741140281821092,0.03785051003129969
y,743.0,0.08300260544,0.7189756011999999,3,0.07386694184249167,0.03785146733777495
y,742.0,0.08317146300999999,0.7181204224,3,0.07415570821761876,0.03796899672453934
y,741.0,0.08301350594000001,0.7182527161,3,0.07416582623059888,0.03789043664598653
y,740.0,0.0831110096,0.7178891754,3,0.07427796912837786,0.037952210253632886
y,739.0,0.08317117691,0.7174098205999999,3,0.07445436177196044,0.038002395420770205
y,738.0,0.08305608748999999,0.7172428130999999,3,0.07457246672152897,0.03795752086739256
y,737.0,0.08295404434,0.7177376556,3,0.07440692361500027,0.03788743887553283
y,736.0,0.08324304581,0.7177072905999999,3,0.07429946296852052,0.03802128235580144
y,735.0,0.08319382668,0.7182643127,3,0.0740859958361798,0.03797245295807752
y,734.0,0.08315964699,0.7185344696,3,0.0739867997273614,0.03794407488418828
y,733.0,0.08324564933999999,0.7184997559,3,0.07396563142032954,0.037985076046082575
y,732.0,0.08313327789000001,0.718385849,3,0.07406014090217326,0.03793900458949367
y,731.0,0.08320179939000001,0.7187145233,3,0.07389372891793809,0.03795488504983138
y,730.0,0.08311685561999999,0.7183673858999999,3,0.07407471748885495,0.03793235606501567
y,729.0,0.08336210251000001,0.7184732819,3,0.07392835436990833,0.038039631159355033
y,728.0,0.08308599471999999,0.7179809570000001,3,0.07424981864892179,0.037936426878520155
y,727.0,0.08318637848,0.7178512573,3,0.07426255257043769,0.03798852413995639
y,726.0,0.08315343857,0.718260498,3,0.07410438578947218,0.03795414042868452
y,725.0,0.08327659606999999,0.7184725189,3,0.07396420287545218,0.03800052629822981
y,724.0,0.08328956604,0.717902298,3,0.07419820492721674,0.03803338352769491
y,723.0,0.0832037735,0.7188691711,3,0.07382802927009045,0.03794850440779312
y,722.0,0.08339089394,0.7188032531999999,3,0.07377796187690551,0.038037228498349576
y,721.0,0.08318671226999999,0.718477478,3,0.07399947222652695,0.03795914837559246
y,720.0,0.08323960304,0.7185800934,3,0.07393443001027039,0.03797852083191358
