Color,Wavelength,R,T,x,K,S,error
CL,800,0.07783016263572,0.9090688324,1.0,0.013190061088865309,0.08558057078966866,1.249000902703301e-16
CL,799,0.07791202154508,0.9112612915,1.0,0.010887410274209404,0.0854708981891076,1.3877787807814457e-17
CL,798,0.0780775610669,0.9109116364000001,1.0,0.011073620964327556,0.08568479535933565,1.249000902703301e-16
CL,797,0.07813354305048,0.9112316131999999,1.0,0.010693431187494643,0.0857171611643292,0.0
CL,796,0.0777370366847,0.9109655762,1.0,0.011363522899478186,0.08530536555297055,0.0
CL,795,0.07813775491525,0.9115945435,1.0,0.010322299486096795,0.08568868198708895,1.3877787807814457e-17
CL,794,0.07791526530791999,0.910355072,1.0,0.011800983341018107,0.08555699171814292,1.249000902703301e-16
CL,793,0.077318702009,0.9121329498,1.0,0.010605964773755226,0.08473994344010614,1.249000902703301e-16
CL,792,0.07776259072245,0.9124945068,1.0,0.009792036348895992,0.08519473617713462,1.249000902703301e-16
CL,791,0.07762177771222001,0.9111885071,1.0,0.011254588468196727,0.08515839102693785,1.3877787807814457e-17
CL,790,0.07774135241334,0.9101629639,1.0,0.012171539537099358,0.0853830717595142,1.3877787807814457e-17
CL,789,0.0778578893449,0.9113202667,1.0,0.010882511479947564,0.08540602039624909,0.0
CL,788,0.07775753304790001,0.9111521148999999,1.0,0.011154077157661764,0.08531096164998812,0.0
CL,787,0.0775346324599,0.9115025330000001,1.0,0.01102509161353912,0.08503414427770974,1.1102230246251565e-16
CL,786,0.07779481556855,0.9117723846,1.0,0.010489166791202965,0.08529562346653188,0.0
CL,785,0.0776694698366,0.9110457611,1.0,0.011350754875725557,0.08522378033390064,1.1102230246251565e-16
CL,784,0.0778854787845,0.9121339417000001,1.0,0.010032151026604161,0.08536240223252005,0.0
CL,783,0.07777850861305,0.9117346191,1.0,0.010543826885181937,0.08528113205610226,1.3877787807814457e-17
CL,782,0.07786056289632,0.9108201599,1.0,0.011385673741789738,0.08545444970733111,0.0
CL,781,0.0778570970065,0.9106568909,1.0,0.011554387132230202,0.0854654965490945,1.1102230246251565e-16
CL,780,0.0776260146842,0.9109761810000001,1.0,0.011465122944661638,0.08518230410336887,1.249000902703301e-16
CL,779,0.0780624971848,0.9119373322,1.0,0.010051949054160998,0.08557474503175827,0.0
CL,778,0.07774816260555001,0.9098777008000001,1.0,0.01245354114767339,0.0854165266879999,0.0
CL,777,0.0776465205397,0.9109558868000001,1.0,0.011464909313613724,0.08520669687465893,1.249000902703301e-16
CL,776,0.0780219077319,0.9107943726000001,1.0,0.011248533217900656,0.08563427633244003,0.0
CL,775,0.07769472022025,0.9105732727,1.0,0.011803350259523365,0.08529445369120299,2.7755575615628914e-17
CL,774,0.07757870276198,0.9108927155000001,1.0,0.011597459199012589,0.08513783873234936,1.3877787807814457e-17
CL,773,0.07777053038873999,0.9099123383,1.0,0.012395803431824866,0.08543800142869826,0.0
CL,772,0.07779175534655,0.9096103668000001,1.0,0.012680194376111339,0.0854888780657947,0.0
CL,771,0.07791018354995,0.9108296203999999,1.0,0.011325899779614006,0.08550816937772644,0.0
CL,770,0.0779703916268,0.9104976653999999,1.0,0.011600871231678642,0.08560465559147437,4.163336342344337e-17
CL,769,0.07797286605668,0.9103629302999999,1.0,0.011734728768845133,0.08561966573784159,1.3877787807814457e-17
CL,768,0.07781263601855,0.9104646301,1.0,0.011793967109371695,0.08543407585261348,0.0
CL,767,0.07775217647535,0.9093170929,1.0,0.013017473694366427,0.08547200243215379,0.0
CL,766,0.07796064636795,0.9104469299,1.0,0.011662079631353406,0.0855985581885785,1.3877787807814457e-17
CL,765,0.07798185521856,0.9103540039000001,1.0,0.011734665490705518,0.0856303726902181,1.249000902703301e-16
CL,764,0.07798500400284,0.9101770781999999,1.0,0.011910568552301675,0.08564998031971645,2.7755575615628914e-17
CL,763,0.0778149655822,0.9103987121999999,1.0,0.01185833365911172,0.08544263850741304,0.0
CL,762,0.07792016129055,0.9111734009,1.0,0.010968062709855498,0.08548784609304033,0.0
CL,761,0.07780973710595,0.9103533172999999,1.0,0.011909579428842444,0.08544101636510863,0.0
CL,760,0.07786516270535,0.9093929291,1.0,0.012826128762011425,0.08558956278121718,0.0
CL,759,0.0777987013321,0.9092446136,1.0,0.01304377989305636,0.08552986862079226,1.3877787807814457e-17
CL,758,0.07772227644674999,0.9106070708999999,1.0,0.011741249250744401,0.08532170073297102,1.1102230246251565e-16
CL,757,0.07806766872715,0.9101715851000001,1.0,0.011832451147250324,0.08574147420695409,0.0
CL,756,0.0777322779181,0.9101071930000001,1.0,0.012237203718448535,0.08537815626199734,0.0
CL,755,0.07772377738006,0.9095891571,1.0,0.012770554807964728,0.08541593955826043,2.3592239273284576e-16
CL,754,0.07803214643115,0.9096400452000001,1.0,0.01240662554413226,0.08575093041133265,0.0
CL,753,0.0777146994322,0.9101080322,1.0,0.012254154632057939,0.08535872971323473,0.0
CL,752,0.07811596590144,0.9106922913,1.0,0.011256652112665605,0.08574706320532557,1.1102230246251565e-16
CL,751,0.07784933969795,0.9088049316,1.0,0.013438159825223181,0.08562579719669057,0.0
CL,750,0.07805087308735,0.9090366364000001,1.0,0.012998997946241809,0.0858267472259631,0.0
CL,749,0.07781244883986,0.9084542084,1.0,0.013831246682851595,0.08561715286071467,1.249000902703301e-16
CL,748,0.07762685446419999,0.9089523315,1.0,0.013514285078349533,0.08536712669204553,1.3877787807814457e-17
CL,747,0.07783258003728,0.9092546081999999,1.0,0.012999316184701494,0.08556628489028414,1.3877787807814457e-17
CL,746,0.0779681901694,0.9088964081,1.0,0.01322493310267743,0.08574844540344949,0.0
CL,745,0.07779587359185,0.9088304900999999,1.0,0.01346645432577078,0.08556452753767226,2.3592239273284576e-16
CL,744,0.0776003989664,0.908908844,1.0,0.013585208612673141,0.08534192654940581,1.1102230246251565e-16
CL,743,0.07785152498316,0.9091937256,1.0,0.013041819887262702,0.0855927140967065,1.249000902703301e-16
CL,742,0.07773899143185,0.9092982483000001,1.0,0.013049935143642104,0.08545919301380304,1.249000902703301e-16
CL,741,0.07812977461725,0.9092665863,1.0,0.012686042065924583,0.08589264221531598,1.1102230246251565e-16
CL,740,0.07778105168379999,0.9087077332,1.0,0.013605961409782024,0.08555938995599882,0.0
CL,739,0.07779744877635,0.9090416718000001,1.0,0.013250754117473205,0.08554699689220135,1.3877787807814457e-16
CL,738,0.07774648778175,0.9099072266,1.0,0.012425331514598984,0.08541199521666089,1.3877787807814457e-17
CL,737,0.07779779037975,0.9091971588,1.0,0.013092800084683257,0.08553319223151874,1.249000902703301e-16
CL,736,0.07799161503252,0.909640274,1.0,0.012447445361874683,0.08570626957456974,0.0
CL,735,0.07808682057221,0.9094101714999999,1.0,0.012584093131611565,0.08583217544082984,1.1102230246251565e-16
CL,734,0.07801926977795,0.9098966217000001,1.0,0.012159826797918077,0.0857133078366936,1.3877787807814457e-17
CL,733,0.07789064541832,0.9095411682,1.0,0.012650116754571013,0.08560410780687817,1.3877787807814457e-16
CL,732,0.0779125605552,0.9085031890999999,1.0,0.013680033603830178,0.08572307196108728,1.3877787807814457e-17
CL,731,0.0778872349596,0.9092129516999999,1.0,0.012986144726312356,0.08563030688679497,0.0
CL,730,0.0779436846726,0.9091565704,1.0,0.012986077286443218,0.08569765790206942,1.249000902703301e-16
CL,729,0.07780852958544,0.9095708466000001,1.0,0.012703239735061989,0.08551095479175218,1.1102230246251565e-16
CL,728,0.07804478342484,0.9086392212,1.0,0.013408020135521042,0.08585641591505042,1.1102230246251565e-16
CL,727,0.077959237239,0.9084407806,1.0,0.013695990220947139,0.08578025268356314,1.3877787807814457e-17
