Color,Wavelength,R,T,x,K,S,error
M,800,0.08041692958344,0.9107408905,1.0,0.008882664620713361,0.08827412779966624,0.0
M,799,0.08040688957476,0.9124378204,1.0,0.007181769157563002,0.08810380320788773,0.0
M,798,0.08056562566969999,0.9110494995,1.0,0.008421270446278365,0.0884086794478864,2.7755575615628914e-17
M,797,0.08037184924896,0.911098175,1.0,0.008567642985187045,0.0881909649409956,1.1102230246251565e-16
M,796,0.0802288020109,0.9110926055999999,1.0,0.00871758556286051,0.08803415332900744,1.3877787807814457e-17
M,795,0.08002383832915,0.9118359375,1.0,0.008174513724984988,0.0877392693013762,4.163336342344337e-17
M,794,0.08014906917804,0.9103356934,1.0,0.009562137611994747,0.08801738508692293,1.1102230246251565e-16
M,793,0.0799968419593,0.9112222289999999,1.0,0.008820846558437708,0.08776691589775451,1.3877787807814457e-17
M,792,0.08015518589115,0.9124999237,1.0,0.007372792461741227,0.08782155545486686,2.7755575615628914e-17
M,791,0.08027459844978001,0.9113639069,1.0,0.008397682894543521,0.08805908441083625,1.5265566588595902e-16
M,790,0.08003427358290001,0.9101636505,1.0,0.009851854310345338,0.08790713577115086,0.0
M,789,0.08033085685250001,0.9114038085999999,1.0,0.008300693574044383,0.08811720085275788,1.1102230246251565e-16
M,788,0.07987670097285,0.9117280579,1.0,0.008431717320702359,0.08758762460931543,2.220446049250313e-16
M,787,0.08014700406719999,0.9109356689000001,1.0,0.008958500689304646,0.08795888408220857,0.0
M,786,0.08004115586635001,0.9115687561,1.0,0.008426521649161673,0.08778325952055062,2.3592239273284576e-16
M,785,0.0802740932965,0.9114588165,1.0,0.00830246351908743,0.08804963250240666,1.3877787807814457e-17
M,784,0.08051021904495,0.9118212128000001,1.0,0.007698994777685672,0.08827518666866402,1.249000902703301e-16
M,783,0.08036354666210001,0.9119071959999999,1.0,0.0077601670385379845,0.08810592603561486,1.1102230246251565e-16
M,782,0.08025947135579999,0.9114655304,1.0,0.00831043926483417,0.08803292731027178,1.1102230246251565e-16
M,781,0.08025972685965,0.9125926971,1.0,0.007173996460797612,0.0879276873516043,0.0
M,780,0.08003094563405,0.9112468719,1.0,0.008761566527897302,0.08780211603869043,1.1102230246251565e-16
M,779,0.08018373847085,0.9116033936,1.0,0.008247776183525504,0.08793675872833115,1.3877787807814457e-17
M,778,0.0802185633216,0.9104940033,1.0,0.009332108732181639,0.08807902573395673,0.0
M,777,0.08001296386470001,0.9113972472999999,1.0,0.008627982487747137,0.08776829022431049,1.3877787807814457e-16
M,776,0.0802130312012,0.9114437103,1.0,0.008379287737183636,0.08798391299907157,0.0
M,775,0.08048750223975,0.9105841827000001,1.0,0.008969596023462681,0.08836652748439036,1.249000902703301e-16
M,774,0.0800494692585,0.9104163361000001,1.0,0.009581280712200466,0.08790019880484073,0.0
M,773,0.08040066661494,0.9110934448000001,1.0,0.008543343164351123,0.08822310494119942,5.551115123125783e-17
M,772,0.08032229771325,0.9099495697000001,1.0,0.009777165691813819,0.08824436617860128,0.0
M,771,0.08040025982385,0.9111882782,1.0,0.008448087112776271,0.08821374985648403,1.3877787807814457e-17
M,770,0.08018507642745,0.9108558655,1.0,0.009000619845877628,0.08800824459447672,0.0
M,769,0.08025914681917999,0.9106884766000001,1.0,0.00909481272632847,0.08810543844698306,1.249000902703301e-16
M,768,0.08042143941375,0.9109697723,1.0,0.00864715767788464,0.08825757454831891,1.249000902703301e-16
M,767,0.08036530213064999,0.9097805786000001,1.0,0.009904435988334471,0.08830762630758086,0.0
M,766,0.080202583741,0.9098999023000001,1.0,0.00994827317619568,0.08811719882842683,0.0
M,765,0.0803755821972,0.910927887,1.0,0.00873568806744536,0.08821106453113393,2.7755575615628914e-17
M,764,0.08046563838576,0.9106773375999999,1.0,0.008897645959541962,0.088333701336629,1.249000902703301e-16
M,763,0.08037218169995,0.9098200989,1.0,0.009857561868999672,0.08831148392825133,0.0
M,762,0.08036990432405,0.9099476624,1.0,0.00973100609892464,0.08829697129141421,1.3877787807814457e-17
M,761,0.0801298026551,0.9099362182999999,1.0,0.009985112855783608,0.08803364035283615,1.1102230246251565e-16
M,760,0.08036919265030001,0.9096958159999999,1.0,0.009986140375193905,0.08831989003323223,1.3877787807814457e-17
M,759,0.08038534302265,0.9094490813999999,1.0,0.010219135561808113,0.08836091652604548,1.3877787807814457e-17
M,758,0.08042813868905001,0.9107688904,1.0,0.008843096421414447,0.08828382846776447,5.551115123125783e-17
M,757,0.08045014381054999,0.9114607239,1.0,0.00812299712078223,0.08824301292808266,1.1102230246251565e-16
M,756,0.08035884008325,0.9094318389999999,1.0,0.010263343989041331,0.08833333877936636,2.7755575615628914e-17
M,755,0.0801368894214,0.9103634644,1.0,0.00954639205722744,0.08800137457745337,1.249000902703301e-16
M,754,0.08020052461835,0.9099884796000001,1.0,0.009860868348570093,0.08810661414636049,1.1102230246251565e-16
M,753,0.08039158682675,0.9092227173,1.0,0.010441609404165136,0.08838912475926519,0.0
M,752,0.08040043052472001,0.9099384308,1.0,0.009709497919933996,0.0883314567080061,1.3877787807814457e-17
M,751,0.08016247349005001,0.9098364257999999,1.0,0.010052930991735003,0.08807898480440543,1.3877787807814457e-17
M,750,0.08012106323179999,0.9092812347,1.0,0.01065592433616348,0.08808549214556703,0.0
M,749,0.0802078246907,0.9092658996999999,1.0,0.010583714719767765,0.08818254460367864,0.0
M,748,0.08042206568665,0.9102290343999999,1.0,0.009394174127174922,0.08832792699341466,1.3877787807814457e-17
M,747,0.08036619758640001,0.9088591003000001,1.0,0.010834898784633337,0.0883954119322338,1.1102230246251565e-16
M,746,0.08041211166685,0.9096490479,1.0,0.009990030093365212,0.08837157168315489,1.3877787807814457e-17
M,745,0.0804060007052,0.9091890717,1.0,0.010461049477513843,0.08840818160089889,1.1102230246251565e-16
M,744,0.08039101748775,0.9094476318,1.0,0.010214866143167559,0.0883673053180865,1.1102230246251565e-16
M,743,0.080337074895,0.9093196106000001,1.0,0.010398769778141694,0.08831992365115357,1.1102230246251565e-16
M,742,0.0804384722715,0.9089473724,1.0,0.010672566414175366,0.08846676732544823,1.3877787807814457e-17
M,741,0.08029533930265,0.9105080414,1.0,0.0092404237077813,0.08816220527832867,0.0
M,740,0.08013695741155001,0.9089466858,1.0,0.010978147406490116,0.08813444174862431,2.7755575615628914e-17
M,739,0.08029216994904999,0.9097161865,1.0,0.010043378113955982,0.08823313202253082,0.0
M,738,0.08050638546915,0.9099707793999999,1.0,0.009569817019706797,0.0884450905848826,1.249000902703301e-16
M,737,0.0804874737728,0.9094174194,1.0,0.01014792626219734,0.08847643297428767,0.0
M,736,0.08038223121432,0.9098907471,1.0,0.00977604469500342,0.0883159025575407,0.0
M,735,0.08053692856092001,0.9095978546000001,1.0,0.009915650715575965,0.08851389886938588,1.249000902703301e-16
M,734,0.08040691165755,0.9100460052,1.0,0.009594303587897495,0.08832846799914065,1.3877787807814457e-17
M,733,0.08033481237544,0.9097720336999999,1.0,0.009943870877981454,0.08827484803784966,1.3877787807814457e-17
M,732,0.0803171356632,0.908741684,1.0,0.011003257744920105,0.08835238429678896,0.0
M,731,0.08026091514743999,0.9093593597,1.0,0.010435571338176181,0.08823225928852536,0.0
M,730,0.08040634231855,0.9089487457,1.0,0.010703662628145198,0.08843121732043085,1.3877787807814457e-17
M,729,0.08046636028656,0.9094107819,1.0,0.01017596865904299,0.08845379466065609,2.7755575615628914e-17
M,728,0.0803683822626,0.9089035797,1.0,0.010787712491084865,0.088393627391114,1.3877787807814457e-17
M,727,0.0804275029139,0.9095414734,1.0,0.010083171062134098,0.08839866231100015,1.249000902703301e-16
M,726,0.08030487580055,0.9089310455,1.0,0.010824154837927601,0.08832102722044331,0.0
M,725,0.08060216803970001,0.9095369719999999,1.0,0.00991125042033233,0.0885915199634074,1.1102230246251565e-16
M,724,0.08038874960415,0.9086643982,1.0,0.011008995964851024,0.08843863943849613,1.249000902703301e-16
M,723,0.0804138671354,0.9091175079,1.0,0.010525438844358507,0.08842359844310718,1.1102230246251565e-16
