Color,Wavelength,R,T,x,K,S,error
Y,800,0.08015735195388,0.9099287415,1.0,0.009964833741125058,0.08806467992828172,1.1102230246251565e-16
Y,799,0.07999579982760001,0.9107449341,1.0,0.009303666122562282,0.0878103879262528,0.0
Y,798,0.08006521062815,0.9093151855000001,1.0,0.010678066683209987,0.08802075712276045,1.3877787807814457e-17
Y,797,0.07995607669824001,0.908533783,1.0,0.01157886008280434,0.08797377729842955,2.7755575615628914e-17
Y,796,0.08014713916694999,0.9108863067999999,1.0,0.00900818499388679,0.08796365649235259,1.3877787807814457e-17
Y,795,0.08033049626449999,0.9100242615,1.0,0.00969344061541311,0.08824637049847388,0.0
Y,794,0.0801924777564,0.9075910949999999,1.0,0.012293885537200889,0.08832330028136726,0.0
Y,793,0.08009773912835,0.911566925,1.0,0.008371294907813905,0.08784563258011578,1.3877787807814457e-16
Y,792,0.07995730104735001,0.9112424469,1.0,0.008840345382987448,0.08772154470610379,1.1102230246251565e-16
Y,791,0.07988048729038,0.9105908202999999,1.0,0.009575720880989642,0.08769790907756664,0.0
Y,790,0.08005633243089999,0.9101391602,1.0,0.00985431097371395,0.08793371588650914,1.3877787807814457e-17
Y,789,0.08003562374595001,0.9101902771,1.0,0.009823592840371227,0.08790612830386625,1.3877787807814457e-16
Y,788,0.08020618009885,0.9103996277,1.0,0.009439903798936973,0.08807425122619036,1.249000902703301e-16
Y,787,0.08016903447686,0.9112480927,1.0,0.008621007116382494,0.0879538550121222,2.7755575615628914e-17
Y,786,0.07980877828289999,0.9101106262,1.0,0.010133248782177282,0.08766383309806913,1.3877787807814457e-17
Y,785,0.08023691516130001,0.9087088013,1.0,0.011117654152792405,0.08826702551449146,1.3877787807814457e-17
Y,784,0.08015606837655,0.9108844757,1.0,0.009001020932359998,0.08797365112120695,0.0
Y,783,0.08016877422805001,0.9110777283,1.0,0.008793167844313828,0.08796952415831744,1.249000902703301e-16
Y,782,0.08055744232524001,0.9101959229000001,1.0,0.00929092302134736,0.08848008612611417,0.0
Y,781,0.0802075465224,0.9106490326,1.0,0.009186716859627086,0.08805235938585092,1.3877787807814457e-17
Y,780,0.07990338420625,0.9099197388,1.0,0.010230546516329032,0.08778584774236027,1.1102230246251565e-16
Y,779,0.0800468777631,0.9091307831000001,1.0,0.010883063789358905,0.08801785890030807,0.0
Y,778,0.080072706988,0.9087931824000001,1.0,0.011198399331038037,0.08807803106200686,0.0
