Color,Wavelength,R,T,x,K,S,error
CL,800,0.0054743829343679995,0.9068850707999999,2,0.04586484168727403,0.003013450492864373,4.336808689942018e-18
CL,799,0.005502898313772,0.908177338,2,0.04514142067071972,0.003024976308622137,1.1275702593849246e-16
CL,798,0.005545150136935,0.907006836,2,0.04575937382520484,0.0030520092701205935,3.469446951953614e-18
CL,797,0.005541577190916001,0.905926514,2,0.04635372180572198,0.0030535608859287512,1.1275702593849246e-16
CL,796,0.00555059863654,0.908052139,2,0.04518387624963762,0.0030516049374134436,1.1275702593849246e-16
CL,795,0.00552185212338,0.908071747,2,0.0451888572192305,0.003035737074128444,2.229119666630197e-16
CL,794,0.005556779694684,0.90766243,2,0.045393864365364744,0.003056272634359447,2.255140518769849e-16
CL,793,0.005592040323855,0.908324661,2,0.045012076549765245,0.0030734961670226637,8.673617379884035e-19
CL,792,0.005623653125555001,0.908408051,2,0.044949174830186484,0.003090596739000959,8.673617379884035e-19
CL,791,0.005575038238714,0.907602997,2,0.04541642670771365,0.003066509402960677,2.255140518769849e-16
CL,790,0.005635412133763999,0.906872025,2,0.04578385828779354,0.0031021354547782834,1.1102230246251565e-16
CL,789,0.005730521285625,0.9081493378000001,2,0.045032340810096855,0.0031501975075142116,8.673617379884035e-19
CL,788,0.0056589334485,0.9074235534999999,2,0.045468819865877884,0.00311325152396579,1.1449174941446927e-16
CL,787,0.005577174093232,0.9072081756999999,2,0.04563152667255608,0.0030689760820250124,1.1535911115245767e-16
CL,786,0.00563211973876,0.907741242,2,0.04530951206958625,0.0030974504565271324,1.1362438767648086e-16
CL,785,0.005771046093375,0.9074076843000001,2,0.045416195121955466,0.003174984556987337,2.255140518769849e-16
CL,784,0.0057081490489249995,0.907512436,2,0.045393226246668604,0.0031400300955533493,1.1535911115245767e-16
CL,783,0.005614590480485,0.9088927459999999,2,0.0446890016636726,0.0030840231018893975,2.2724877535296173e-16
CL,782,0.00569411514768,0.908232727,2,0.04500660386684599,0.003129905809681755,1.1362438767648086e-16
CL,781,0.00569856747056,0.908183594,2,0.04503105709654329,0.003132517191671281,1.196959198423997e-16
CL,780,0.005720736286475,0.907200012,2,0.045557459839978304,0.0031480030249795197,2.220446049250313e-16
CL,779,0.00570193964496,0.907206497,2,0.04556418982027608,0.003137637796412263,1.734723475976807e-18
CL,778,0.00569486140003,0.9070554352000001,2,0.04565082257328416,0.003134247718268764,2.237793284010081e-16
CL,777,0.00574388840517,0.9080538176999999,2,0.0450773091010138,0.003157867288907827,1.1622647289044608e-16
CL,776,0.0057984718475149995,0.906989975,2,0.04563000000037428,0.00319149473115354,2.2811613709095013e-16
CL,775,0.005750664780035,0.9074714661000001,2,0.04539241199804323,0.0031635563145276167,2.246466901389965e-16
CL,774,0.0057638786261,0.906703415,2,0.04580595874175742,0.00317342427847576,1.1622647289044608e-16
CL,773,0.005829600749084,0.907767487,2,0.045187179509090535,0.0032059690843090883,1.1188966420050406e-16
CL,772,0.0058568052468550005,0.906339951,2,0.045954328488653017,0.003225838478913449,3.37403716077489e-16
CL,771,0.00582017332586,0.907984772,2,0.045073404609675544,0.003200043130921473,1.1188966420050406e-16
CL,770,0.00577312479066,0.907345352,2,0.04544919545142423,0.003176339309371004,1.1362438767648086e-16
CL,769,0.005882694962872001,0.907249832,2,0.04544158399433555,0.0032369546580849787,1.1275702593849246e-16
CL,768,0.005808940652455,0.9061916351000001,2,0.04606185644269934,0.0031999815547826722,2.246466901389965e-16
CL,767,0.005828592494480001,0.906793137,2,0.045721373486307774,0.0032087471327455585,1.1709383462843448e-16
CL,766,0.005898156789159999,0.906387863,2,0.04590542486637846,0.0032484484615029076,2.220446049250313e-16
CL,765,0.005881053457416,0.907138062,2,0.04550369996262745,0.003236437194359067,2.2638141361497333e-16
CL,764,0.005851254579624,0.907902679,2,0.04510134567068683,0.0032174139504756592,2.2638141361497333e-16
CL,763,0.005954053279275,0.9060953521999999,2,0.04603519468867331,0.0032802581228617766,8.673617379884035e-19
CL,762,0.005883514577115,0.906653595,2,0.04576778830449686,0.003239465377230209,3.365363543395006e-16
CL,761,0.005918730848925,0.9069784545999999,2,0.04557051974277669,0.0032577264888961504,1.1102230246251565e-16
CL,760,0.00592476411202,0.9060209656000001,2,0.04609202359047265,0.0032643808620540066,1.1709383462843448e-16
CL,759,0.00595515934814,0.9067617035000001,2,0.04566934194785062,0.0032785353483504335,1.1188966420050406e-16
CL,758,0.005967014149274999,0.907153931,2,0.04544799173259166,0.003283687763135989,1.734723475976807e-18
CL,757,0.006007132706485,0.906491776,2,0.04578882026373552,0.0033081016019752022,2.246466901389965e-16
CL,756,0.00601317189978,0.9068611907999999,2,0.045583095157537896,0.0033101224796467706,1.1102230246251565e-16
CL,755,0.005957047599202,0.906654511,2,0.04572704630552582,0.003279950007261301,2.6020852139652106e-18
CL,754,0.005977441438835,0.9063712311000001,2,0.04587114235880428,0.0032921740032392463,1.1362438767648086e-16
CL,753,0.006072748958575001,0.9066960907000001,2,0.04564095365703009,0.0033435076879528925,1.734723475976807e-18
CL,752,0.006017703823764,0.906271362,2,0.045903848138269615,0.0033147027337377287,1.1188966420050406e-16
CL,751,0.006038169639995,0.905711746,2,0.04619950769629779,0.0033279634152406333,1.1102230246251565e-16
CL,750,0.00611843522236,0.905414887,2,0.046318390386556066,0.003373271858631081,8.673617379884035e-19
CL,749,0.00610668245768,0.905549851,2,0.04625078633361934,0.0033663069296182113,1.1449174941446927e-16
CL,748,0.0060662109966550005,0.906018219,2,0.0460160778413057,0.0033423250159238358,2.6020852139652106e-18
CL,747,0.006082722308352,0.9055744171000001,2,0.046250434686863955,0.0033530107661594584,1.1102230246251565e-16
CL,746,0.006079127979195,0.905830765,2,0.04611179810675745,0.003350112364116366,1.1275702593849246e-16
CL,745,0.0061525288197500005,0.905442505,2,0.0462845605363392,0.0033919688705440266,1.1362438767648086e-16
CL,744,0.006111819567855,0.905744095,2,0.04614142746122442,0.003368440105759852,1.1362438767648086e-16
CL,743,0.006195489642492,0.905893402,2,0.04601373266164745,0.0034140100506258636,2.255140518769849e-16
CL,742,0.00612612966283,0.9052774048000001,2,0.04638960883745763,0.0033780100309690237,2.229119666630197e-16
CL,741,0.00617076857071,0.9060552979000001,2,0.0459385044519772,0.0033997997628617523,1.1188966420050406e-16
CL,740,0.00617510862937,0.905742493,2,0.0461076461059615,0.0034033272550984903,1.1362438767648086e-16
CL,739,0.006229246678869999,0.905496216,2,0.046213071879136605,0.0034340680477606663,4.336808689942018e-18
CL,738,0.00622651620186,0.905778275,2,0.04605987277805084,0.003431529146908952,1.1102230246251565e-16
CL,737,0.00625789414973,0.906123123,2,0.04585363085447461,0.0034475528955146273,2.237793284010081e-16
CL,736,0.006263481188076,0.906387711,2,0.04570556442942047,0.003449656639370749,2.229119666630197e-16
CL,735,0.006263383924152,0.906201325,2,0.04580776301387524,0.0034502893266842253,1.1362438767648086e-16
CL,734,0.006293796005395,0.9064875030999999,2,0.045634297330517666,0.0034659838653557495,1.1275702593849246e-16
CL,733,0.006288629454072,0.906302033,2,0.045738753813746015,0.0034638241276690913,8.673617379884035e-19
CL,732,0.006300939488495,0.9054621124000001,2,0.046192509928522085,0.0034737180390040354,1.1362438767648086e-16
CL,731,0.006322084558176,0.9062444304999999,2,0.045752012671872004,0.003482465800019981,1.1188966420050406e-16
CL,730,0.006295350432205,0.905428925,2,0.046213775487924616,0.0034707597435727636,1.1449174941446927e-16
CL,729,0.0063559298373600005,0.906370621,2,0.045664342725069404,0.0035006379807714775,1.1535911115245767e-16
CL,728,0.006342757658676,0.906491852,2,0.04560512724919637,0.003492931160858351,2.2638141361497333e-16
CL,727,0.00637557272013,0.906248932,2,0.04572027519356777,0.003511912858717894,8.673617379884035e-19
CL,726,0.006360504686889999,0.9058087921000001,2,0.045969776553669565,0.0035052591457513634,1.1535911115245767e-16
CL,725,0.006387713971815,0.906068573,2,0.04581247524614657,0.0035192782436076655,2.2724877535296173e-16
CL,724,0.00638532332213,0.905090866,2,0.046349949044502674,0.003521635725996997,2.246466901389965e-16
CL,723,0.00640652662487,0.905942001,2,0.045871555543237345,0.003530120057695223,1.1362438767648086e-16
CL,722,0.00645162634511,0.905722351,2,0.045967281563325385,0.003555804983355852,2.2638141361497333e-16
CL,721,0.0064639947413650005,0.90667984,2,0.04543583448167129,0.003558982995872792,1.1362438767648086e-16
CL,720,0.006463052358955001,0.905730515,2,0.04595655040149715,0.003562071464980576,1.734723475976807e-18
CL,719,0.006479894828988,0.905811005,2,0.045903203382453406,0.0035710473415995433,2.237793284010081e-16
CL,718,0.006453263879902,0.90534523,2,0.0461731901599422,0.0035581400947268514,1.1102230246251565e-16
CL,717,0.00645702132614,0.905820236,2,0.04591066403317474,0.003558406570143832,2.2811613709095013e-16
CL,716,0.006485313692955,0.9055711365000001,2,0.046031748341190344,0.0035749491609240623,3.3480163086352377e-16
