Color,Wavelength,R,T,x,K,S,error
Y,800,0.01801774819548,0.909928742,1,0.020943901,0.005536461,3.469446951953614e-18
Y,799,0.01800389924376,0.910744934,1,0.020701779,0.005527402,3.8163916471489756e-17
Y,798,0.018046975,0.9093151855000001,1,0.021120373,0.005549067,2.42861286636753e-17
Y,797,0.01808564416092,0.908533783,1,0.021344846,0.005565589,1.1102230246251565e-16
Y,796,0.0181228853842,0.9108863067999999,1,0.020623291,0.0055631,6.938893903907228e-18
Y,795,0.018128171978400002,0.910024262,1,0.020881767,0.00556983,3.469446951953614e-18
Y,794,0.01822516191864,0.9075910949999999,1,0.021587819,0.005614167,0
Y,793,0.01817253452105,0.911566925,1,0.02040318,0.005574306,0
Y,792,0.0182367244486,0.911242447,1,0.020481637,0.005595929,3.469446951953614e-18
Y,791,0.01819581822716,0.9105908202999999,1,0.02069043,0.005587246,3.122502256758253e-17
Y,790,0.0182731355828,0.91013916,1,0.020803386,0.005613688,0
Y,789,0.01846837136375,0.910190277,1,0.020729116,0.005673365,3.469446951953614e-18
Y,788,0.01833147982095,0.910399628,1,0.020707219,0.005630053,0
Y,787,0.01833817695892,0.911248093,1,0.020449388,0.005627029,1.491862189340054e-16
Y,786,0.01826811306685,0.910110626,1,0.02081351,0.005612315,1.1796119636642288e-16
Y,785,0.01849057932595,0.908708801,1,0.021169683,0.005689156,1.1102230246251565e-16
Y,784,0.01835555356735,0.910884476,1,0.020553756,0.005634541,3.469446951953614e-18
Y,783,0.018420616,0.911077728,1,0.020475909,0.005653353,3.8163916471489756e-17
Y,782,0.01847645440188,0.9101959229000001,1,0.020724976,0.005675814,3.8163916471489756e-17
Y,781,0.01845962364215,0.910649033,1,0.020593394,0.00566791,0
Y,780,0.018449020802750002,0.909919739,1,0.020816574,0.005669052,1.1449174941446927e-16
Y,779,0.018476750208999998,0.9091307831000001,1,0.021046385,0.005682346,1.1102230246251565e-16
Y,778,0.0185635359597,0.9087931824000001,1,0.02112217,0.005711093,0
Y,777,0.01865253977435,0.9097555542000001,1,0.020804763,0.0057326,1.1449174941446927e-16
